geometry,temperature_K,state_index,spin1_index,spin2_index,p_initial,p_equilibrium,p_end,p_time_mean
face,202.0,58,7,2,0.015625,7.974443470937906e-08,0.015033377853556093,0.015327265088435491
face,202.0,59,7,3,0.015625,6.90458259714774e-10,0.015404538373342115,0.015514508482111757
face,202.0,60,7,4,0.015625,0.12285398471956584,0.017773030929909322,0.01671191417456817
face,202.0,61,7,5,0.015625,0.0010637174719168232,0.016018410276297038,0.015824074783006577
face,202.0,62,7,6,0.015625,0.0010637174719168232,0.016018410276299005,0.015824074783008606
face,202.0,63,7,7,0.015625,9.210078636390509e-06,0.01564057670314701,0.01563303594156127
face,203.0,0,0,0,0.015625,9.647307517376526e-06,0.015641849087869548,0.01563374875933573
face,203.0,1,0,1,0.015625,0.0010884504622583056,0.016071104706449037,0.01585112567206454
face,203.0,2,0,2,0.015625,0.0010884504622583056,0.01607110470644821,0.015851125672063645
face,203.0,3,0,3,0.015625,0.12280363268781663,0.01805525793145729,0.016856569846200032
face,203.0,4,0,4,0.015625,7.578810194599657e-10,0.015372233138468179,0.015498273515006242
face,203.0,5,0,5,0.015625,8.550737544980031e-08,0.014952046820799212,0.015286027105240246
face,203.0,6,0,6,0.015625,8.550737544980031e-08,0.014952046820799179,0.015286027105240215
face,203.0,7,0,7,0.015625,9.647307517376526e-06,0.013884356787739346,0.014737102324879485
face,203.0,8,1,0,0.015625,0.0010884504622583056,0.0160711047064466,0.015851125672062087
face,203.0,9,1,1,0.015625,9.647307517376526e-06,0.015641849087867574,0.015633748759333755
face,203.0,10,1,2,0.015625,0.12280363268781663,0.018055257931424786,0.01685656984616741
face,203.0,11,1,3,0.015625,0.0010884504622583056,0.016071104706445277,0.015851125672060623
face,203.0,12,1,4,0.015625,8.550737544980031e-08,0.014952046820799177,0.01528602710524021
face,203.0,13,1,5,0.015625,7.578810194599657e-10,0.015372233138468167,0.015498273515006234
face,203.0,14,1,6,0.015625,9.647307517376526e-06,0.013884356787737459,0.014737102324877575
face,203.0,15,1,7,0.015625,8.550737544980031e-08,0.014952046820799167,0.0152860271052402
face,203.0,16,2,0,0.015625,0.0010884504622583056,0.016071104706452045,0.015851125672067565
face,203.0,17,2,1,0.015625,0.12280363268781663,0.01805525793142119,0.016856569846163887
face,203.0,18,2,2,0.015625,9.647307517376526e-06,0.01564184908786733,0.015633748759333512
face,203.0,19,2,3,0.015625,0.0010884504622583056,0.016071104706444198,0.015851125672059645
face,203.0,20,2,4,0.015625,8.550737544980031e-08,0.014952046820799172,0.015286027105240206
face,203.0,21,2,5,0.015625,9.647307517376526e-06,0.0138843567877392,0.01473710232487923
face,203.0,22,2,6,0.015625,7.578810194599657e-10,0.015372233138468172,0.015498273515006237
face,203.0,23,2,7,0.015625,8.550737544980031e-08,0.014952046820799167,0.015286027105240197
face,203.0,24,3,0,0.015625,0.12280363268781663,0.018055257931431225,0.016856569846173886
face,203.0,25,3,1,0.015625,0.0010884504622583056,0.016071104706446068,0.01585112567206153
face,203.0,26,3,2,0.015625,0.0010884504622583056,0.016071104706446064,0.015851125672061567
face,203.0,27,3,3,0.015625,9.647307517376526e-06,0.01564184908786487,0.015633748759331028
face,203.0,28,3,4,0.015625,9.647307517376526e-06,0.013884356787738502,0.014737102324878602
face,203.0,29,3,5,0.015625,8.550737544980031e-08,0.014952046820799177,0.015286027105240208
face,203.0,30,3,6,0.015625,8.550737544980031e-08,0.014952046820799172,0.015286027105240204
face,203.0,31,3,7,0.015625,7.578810194599657e-10,0.015372233138468179,0.015498273515006246
face,203.0,32,4,0,0.015625,7.578810194599657e-10,0.015372233138468168,0.015498273515006234
face,203.0,33,4,1,0.015625,8.550737544980031e-08,0.014952046820799179,0.015286027105240215
face,203.0,34,4,2,0.015625,8.550737544980031e-08,0.014952046820799189,0.015286027105240225
face,203.0,35,4,3,0.015625,9.647307517376526e-06,0.013884356787738455,0.014737102324878557
face,203.0,36,4,4,0.015625,9.647307517376526e-06,0.015641849087867025,0.015633748759333193
face,203.0,37,4,5,0.015625,0.0010884504622583056,0.016071104706448253,0.01585112567206367
face,203.0,38,4,6,0.015625,0.0010884504622583056,0.016071104706449436,0.01585112567206484
face,203.0,39,4,7,0.015625,0.12280363268781663,0.018055257931429203,0.016856569846171864
face,203.0,40,5,0,0.015625,8.550737544980031e-08,0.014952046820799179,0.015286027105240213
face,203.0,41,5,1,0.015625,7.578810194599657e-10,0.015372233138468175,0.015498273515006237
face,203.0,42,5,2,0.015625,9.647307517376526e-06,0.013884356787738403,0.014737102324878501
face,203.0,43,5,3,0.015625,8.550737544980031e-08,0.01495204682079917,0.015286027105240204
face,203.0,44,5,4,0.015625,0.0010884504622583056,0.016071104706448958,0.015851125672064374
face,203.0,45,5,5,0.015625,9.647307517376526e-06,0.015641849087868347,0.01563374875933453
face,203.0,46,5,6,0.015625,0.12280363268781663,0.018055257931428384,0.016856569846170892
face,203.0,47,5,7,0.015625,0.0010884504622583056,0.016071104706453246,0.015851125672068752
face,203.0,48,6,0,0.015625,8.550737544980031e-08,0.014952046820799179,0.015286027105240215
face,203.0,49,6,1,0.015625,9.647307517376526e-06,0.013884356787738533,0.014737102324878636
face,203.0,50,6,2,0.015625,7.578810194599657e-10,0.015372233138468168,0.015498273515006234
face,203.0,51,6,3,0.015625,8.550737544980031e-08,0.014952046820799177,0.015286027105240206
face,203.0,52,6,4,0.015625,0.0010884504622583056,0.01607110470644868,0.015851125672064127
