geometry,temperature_K,window_s,center_distance_nm,face_tilt_halfangle_deg,orientation_fraction,Udd_J,F_orient_J,orientation_entropy_cost_J,F_orient_eq_J,p_parallel_initial,p_parallel_mean,p_parallel_end,p_parallel_eq,face_sign_relaxation_s,fast_azimuth_Udd_J,slow_axial_Udd_J,UvdW_J,rotation_constraint_F_J,stage1_Udd_J,stage2_F_orient_J,stage3_F_with_rotation_J,free_Brownian_time_s,assembly_free_energy_J,Udd_kBT,F_orient_kBT,orientation_entropy_cost_kBT,F_orient_eq_kBT,fast_azimuth_Udd_kBT,slow_axial_Udd_kBT,UvdW_kBT,rotation_constraint_F_kBT,stage1_Udd_kBT,stage2_F_orient_kBT,stage3_F_with_rotation_kBT,assembly_free_energy_kBT
face,237.0,20,19.0,2,0.0018275189427127136,-2.1618050969395396e-20,-1.6907749082106745e-20,4.710301887288651e-21,-1.904832646936703e-20,0.5,0.8834039698976862,0.9924575171711411,0.9996952543389666,4.722896103172541,-1.1461549047213784e-20,-1.0156501922181612e-20,-4.8834370285786125e-21,4.126032679364814e-20,-2.1618050969395396e-20,-1.6907749082106745e-20,2.4352577711541397e-20,2.0023911703925744e-06,nan,-6.606704885467471,-5.167186839421948,1.4395180460455226,-5.821369915507518,-3.5027705408065346,-3.103934344660936,-1.492429975313607,12.609592002049173,-6.606704885467471,-5.167186839421948,7.442405162627225,nan
tip,237.0,20,28.516660498395403,2,1.0,-5.619241659251432e-21,-3.1172859831442354e-21,2.5019556761071966e-21,-3.1172859831442354e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.619241659251432e-21,-3.1172859831442354e-21,-3.1172859831442354e-21,2.0023911703925744e-06,nan,-1.7172996481207323,-0.9526755470876882,0.7646241010330442,-0.9526755470876882,nan,nan,-0.07497251308017738,-0.0,-1.7172996481207323,-0.9526755470876882,-0.9526755470876882,nan
face,238.0,20,19.0,2,0.0018275189427127136,-2.1864891942406328e-20,-1.707086865676554e-20,4.7940232856407896e-21,-1.9024503879679838e-20,0.5,0.8930418223717855,0.9948606103797145,0.9996847132157177,4.310017350627418,-1.1453080021204583e-20,-1.0411811921201744e-20,-4.8834370285786125e-21,4.143442099952851e-20,-2.1864891942406328e-20,-1.707086865676554e-20,2.436355234276297e-20,1.967322888546411e-06,nan,-6.654065868707892,-5.195117578325327,1.4589482903825655,-5.789660532891098,-3.4854756685475063,-3.1685902001603856,-1.486159261131617,12.609592002049173,-6.654065868707892,-5.195117578325327,7.414474423723845,nan
tip,238.0,20,28.516660498395403,2,1.0,-5.6036757402247505e-21,-3.1067620265284773e-21,2.4969137136962732e-21,-3.1067620265284773e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.6036757402247505e-21,-3.1067620265284773e-21,-3.1067620265284773e-21,1.967322888546411e-06,nan,-1.7053469818443714,-0.9454699898528651,0.7598769919915063,-0.9454699898528651,nan,nan,-0.07465750252101698,-0.0,-1.7053469818443714,-0.9454699898528651,-0.9454699898528651,nan
face,239.0,20,19.0,2,0.0018275189427127136,-2.2092208138680494e-20,-1.7217733347003968e-20,4.874474791676526e-21,-1.900071808440967e-20,0.5,0.9019430150541701,0.9965690297882401,0.9996739004021482,3.936245697386928,-1.1444600587578327e-20,-1.0647607551102166e-20,-4.8834370285786125e-21,4.1608515205408884e-20,-2.2092208138680494e-20,-1.7217733347003968e-20,2.4390781858404916e-20,1.933024661672246e-06,nan,-6.69511348044686,-5.217888493112429,1.4772249873344312,-5.75822765142116,-3.4683223691917555,-3.2267911112551046,-1.4799410215452922,12.609592002049173,-6.69511348044686,-5.217888493112429,7.391703508936743,nan
tip,239.0,20,28.516660498395403,2,1.0,-5.58818068618475e-21,-3.0963033243180354e-21,2.4918773618667145e-21,-3.0963033243180354e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.58818068618475e-21,-3.0963033243180354e-21,-3.0963033243180354e-21,1.933024661672246e-06,nan,-1.69351581373807,-0.9383445057218376,0.7551713080162322,-0.9383445057218376,nan,nan,-0.07434512803348134,-0.0,-1.69351581373807,-0.9383445057218376,-0.9383445057218376,nan
face,240.0,20,19.0,2,0.0018275189427127136,-2.230058015340846e-20,-1.7349339300357868e-20,4.951240853050592e-21,-1.8976969003478022e-20,0.5,0.9101294647836217,0.9977382787884069,0.9996628116486501,3.5976074447386397,-1.1436110756991531e-20,-1.086446939641693e-20,-4.8834370285786125e-21,4.178260941128925e-20,-2.230058015340846e-20,-1.7349339300357868e-20,2.4433270110931383e-20,1.899476977593303e-06,nan,-6.730101855905104,-5.235864709386029,1.4942371465190742,-5.7270677906664496,-3.4513088762940263,-3.2787929796110773,-1.473774600622187,12.609592002049173,-6.730101855905104,-5.235864709386029,7.373727292663143,nan
tip,240.0,20,28.516660498395403,2,1.0,-5.5727560978888496e-21,-3.085909307807454e-21,2.4868467900813957e-21,-3.085909307807454e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.5727560978888496e-21,-3.085909307807454e-21,-3.085909307807454e-21,1.899476977593303e-06,nan,-1.6818045045871088,-0.9312979221509395,0.7505065824361694,-0.9312979221509395,nan,nan,-0.07403535666667518,-0.0,-1.6818045045871088,-0.9312979221509395,-0.9312979221509395,nan
face,241.0,20,19.0,2,0.0018275189427127136,-2.2490859141390816e-20,-1.7466803432163907e-20,5.024055709226909e-21,-1.8953256557896014e-20,0.5,0.9176333018688336,0.9985058574415455,0.9996514426992128,3.2905587609869364,-1.1427610541409483e-20,-1.1063248599981333e-20,-4.8834370285786125e-21,4.1956703617169626e-20,-2.2490859141390816e-20,-1.7466803432163907e-20,2.448990018500572e-20,1.8666608645062635e-06,nan,-6.759362225788406,-5.249441587909878,1.5099206378785281,-5.696177528289672,-3.434433453120991,-3.3249287726674157,-1.4676593533167008,12.609592002049173,-6.759362225788406,-5.249441587909878,7.360150414139295,nan
tip,241.0,20,28.516660498395403,2,1.0,-5.5574015789654335e-21,-3.0755794146880674e-21,2.481822164277366e-21,-3.0755794146880674e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.5574015789654335e-21,-3.0755794146880674e-21,-3.0755794146880674e-21,1.8666608645062635e-06,nan,-1.670211443246487,-0.9243290879802899,0.745882355266197,-0.9243290879802899,nan,nan,-0.07372815601660598,-0.0,-1.670211443246487,-0.9243290879802899,-0.9243290879802899,nan
face,242.0,20,19.0,2,0.0018275189427127136,-2.2664089357428037e-20,-1.7571293935473037e-20,5.092795421955e-21,-1.8929580669746056e-20,0.5,0.9244939460185524,0.9989869072962504,0.9996397892923427,3.011936472680869,-1.1419099954103908e-20,-1.124498940332413e-20,-4.8834370285786125e-21,4.2130797823049994e-20,-2.2664089357428037e-20,-1.7571293935473037e-20,2.4559503887576957e-20,1.8345578754965897e-06,nan,-6.783278140030802,-5.25902330178935,1.5242548382414525,-5.6655534988417315,-3.41769439203667,-3.3655837479941324,-1.461594645245144,12.609592002049173,-6.783278140030802,-5.25902330178935,7.350568700259823,nan
tip,242.0,20,28.516660498395403,2,1.0,-5.5421167358735614e-21,-3.065313088956549e-21,2.4768036469170125e-21,-3.065313088956549e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.5421167358735614e-21,-3.065313088956549e-21,-3.065313088956549e-21,1.8345578754965897e-06,nan,-1.6587350460489094,-0.917436872964609,0.7412981730843005,-0.917436872964609,nan,nan,-0.07342349421488448,-0.0,-1.6587350460489094,-0.917436872964609,-0.917436872964609,nan
face,243.0,20,19.0,2,0.0018275189427127136,-2.2821433776301754e-20,-1.7663972655574964e-20,5.157461120726789e-21,-1.8905941262163726e-20,0.5,0.930755298525103,0.9992727499324884,0.9996278471619747,2.7589147874056685,-1.141057900965025e-20,-1.1410854766651504e-20,-4.8834370285786125e-21,4.230489202893037e-20,-2.2821433776301754e-20,-1.7663972655574964e-20,2.4640919373355403e-20,1.8031500734736297e-06,nan,-6.802262221214452,-5.265005479031475,1.5372567421829768,-5.635192392585779,-3.4010900139029117,-3.4011722073115402,-1.4555798524663575,12.609592002049173,-6.802262221214452,-5.265005479031475,7.344586523017698,nan
tip,243.0,20,28.516660498395403,2,1.0,-5.526901177863712e-21,-3.0551097808251186e-21,2.4717913970385936e-21,-3.0551097808251186e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.526901177863712e-21,-3.0551097808251186e-21,-3.0551097808251186e-21,1.8031500734736297e-06,nan,-1.6473737562277027,-0.9106201673161118,0.7367535889115908,-0.9106201673161118,nan,nan,-0.07312133991770388,-0.0,-1.6473737562277027,-0.9106201673161118,-0.9106201673161118,nan
face,244.0,20,19.0,2,0.0018275189427127136,-2.296410844522708e-20,-1.7745952099808464e-20,5.218156345418616e-21,-1.8882338259319837e-20,0.5,0.9364632640952976,0.9994319260716912,0.9996156120383823,2.5289671983852946,-1.1402047723924406e-20,-1.1562060721302674e-20,-4.8834370285786125e-21,4.247898623481074e-20,-2.296410844522708e-20,-1.7745952099808464e-20,2.4733034135002278e-20,1.772420016517457e-06,nan,-6.8167360818001255,-5.267762616310222,1.548973465489904,-5.605090954350251,-3.3846186674944487,-3.432117414305677,-1.4496143612677248,12.609592002049173,-6.8167360818001255,-5.267762616310222,7.341829385738951,nan
tip,244.0,20,28.516660498395403,2,1.0,-5.5117545169394596e-21,-3.0449689466334077e-21,2.466785570306052e-21,-3.0449689466334077e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-5.5117545169394596e-21,-3.0449689466334077e-21,-3.0449689466334077e-21,1.772420016517457e-06,nan,-1.636126043354195,-0.9038778812591355,0.7322481620950596,-0.9038778812591355,nan,nan,-0.07282166229509034,-0.0,-1.636126043354195,-0.9038778812591355,-0.9038778812591355,nan
