scheme,n_per_axis,volume_nodes,configuration,gap_nm,U_attr_kcalmol,rel_error_vs_reference,rel_change_vs_previous,abs_error_kBT,wall_seconds,peak_pair_memory_MB
radial,6,432,face_to_face_100,2.99,-1.91671273e+01,6.319e-02,4.054e-01,2.1687e+00,0.009,152.6
radial,6,432,face_to_face_100,8.00,-1.35316438e+00,1.147e-02,2.804e-02,2.6329e-02,0.009,152.6
radial,6,432,face_edge_110,1.00,-2.51776293e+02,6.054e+00,2.767e+01,3.6246e+02,0.009,152.6
radial,6,432,face_edge_110,2.99,-6.80429749e+00,4.106e-01,1.456e+00,3.3221e+00,0.009,152.6
radial,6,432,face_edge_110,8.00,-5.06594819e-01,4.723e-02,2.505e-01,3.8324e-02,0.009,152.6
radial,6,432,corner_111,1.00,-9.59950495e+00,1.240e-01,3.199e+00,1.7763e+00,0.009,152.6
radial,6,432,corner_111,2.99,-1.97511235e+00,1.644e-01,9.934e-01,4.6776e-01,0.008,152.6
radial,6,432,corner_111,8.00,-2.52806649e-01,4.994e-02,2.506e-01,2.0172e-02,0.009,152.6
radial,6,432,face_to_face_twist45,1.00,-1.37801711e+02,3.440e-01,1.092e-01,1.2122e+02,0.009,152.6
radial,6,432,face_to_face_twist45,2.99,-1.86919819e+01,7.826e-02,2.253e-01,2.6622e+00,0.009,152.6
radial,6,432,face_to_face_twist45,8.00,-1.35276207e+00,1.103e-02,2.617e-02,2.5304e-02,0.009,152.6
radial,8,1024,face_to_face_100,1.00,-4.09739526e+02,8.959e-01,1.665e-01,3.2479e+02,0.045,152.6
radial,8,1024,face_to_face_100,2.99,-2.16000238e+01,5.572e-02,1.269e-01,1.9123e+00,0.042,152.6
radial,8,1024,face_to_face_100,8.00,-1.37690479e+00,5.877e-03,1.754e-02,1.3494e-02,0.036,152.6
radial,8,1024,face_edge_110,1.00,-2.16799098e+01,3.926e-01,9.139e-01,2.3502e+01,0.037,152.6
radial,8,1024,face_edge_110,2.99,-4.30757034e+00,1.070e-01,3.669e-01,8.6589e-01,0.039,152.6
radial,8,1024,face_edge_110,8.00,-4.75265009e-01,1.754e-02,6.184e-02,1.4229e-02,0.042,152.6
radial,8,1024,corner_111,1.00,-6.29637729e+00,2.628e-01,3.441e-01,3.7644e+00,0.042,152.6
radial,8,1024,corner_111,2.99,-1.58389868e+00,6.624e-02,1.981e-01,1.8847e-01,0.035,152.6
radial,8,1024,corner_111,8.00,-2.36859818e-01,1.628e-02,6.308e-02,6.5771e-03,0.032,152.6
radial,8,1024,face_to_face_twist45,1.00,-2.38944492e+02,1.375e-01,7.340e-01,4.8441e+01,0.039,152.6
radial,8,1024,face_to_face_twist45,2.99,-2.09157108e+01,3.139e-02,1.190e-01,1.0678e+00,0.043,152.6
radial,8,1024,face_to_face_twist45,8.00,-1.37515039e+00,5.339e-03,1.655e-02,1.2250e-02,0.041,152.6
radial,12,3456,face_to_face_100,1.00,-2.53988332e+02,1.752e-01,3.801e-01,6.3529e+01,0.364,152.5
radial,12,3456,face_to_face_100,2.99,-2.05326773e+01,3.552e-03,4.941e-02,1.2190e-01,0.392,152.5
radial,12,3456,face_to_face_100,8.00,-1.36925176e+00,2.858e-04,5.558e-03,6.5633e-04,0.365,152.5
radial,12,3456,face_edge_110,1.00,-2.99049949e+01,1.621e-01,3.794e-01,9.7053e+00,0.411,152.5
radial,12,3456,face_edge_110,2.99,-4.68863416e+00,2.802e-02,8.846e-02,2.2670e-01,0.361,152.5
radial,12,3456,face_edge_110,8.00,-4.82381317e-01,2.824e-03,1.497e-02,2.2918e-03,0.356,152.5
radial,12,3456,corner_111,1.00,-9.62764520e+00,1.273e-01,5.291e-01,1.8235e+00,0.391,152.5
radial,12,3456,corner_111,2.99,-1.70937001e+00,7.732e-03,7.922e-02,2.2000e-02,0.359,152.5
radial,12,3456,corner_111,8.00,-2.40731051e-01,2.068e-04,1.634e-02,8.3535e-05,0.354,152.5
radial,12,3456,face_to_face_twist45,1.00,-2.10020092e+02,2.189e-04,1.211e-01,7.7133e-02,0.369,152.5
radial,12,3456,face_to_face_twist45,2.99,-2.03300521e+01,2.512e-03,2.800e-02,8.5458e-02,0.427,152.5
radial,12,3456,face_to_face_twist45,8.00,-1.36815338e+00,2.236e-04,5.088e-03,5.1305e-04,0.368,152.5
radial,16,8192,face_to_face_100,1.00,-2.26604851e+02,4.854e-02,1.078e-01,1.7595e+01,2.038,152.5
radial,16,8192,face_to_face_100,2.99,-2.04411393e+01,9.220e-04,4.458e-03,3.1642e-02,2.054,152.5
radial,16,8192,face_to_face_100,8.00,-1.36836271e+00,3.636e-04,6.493e-04,8.3496e-04,1.977,152.5
radial,16,8192,face_edge_110,1.00,-3.39164172e+01,4.972e-02,1.341e-01,2.9766e+00,2.145,152.5
radial,16,8192,face_edge_110,2.99,-4.79431873e+00,6.108e-03,2.254e-02,4.9421e-02,2.238,152.5
radial,16,8192,face_edge_110,8.00,-4.83421397e-01,6.743e-04,2.156e-03,5.4717e-04,2.362,152.5
radial,16,8192,corner_111,1.00,-8.19202711e+00,4.081e-02,1.491e-01,5.8460e-01,2.377,152.5
radial,16,8192,corner_111,2.99,-1.69645285e+00,1.169e-04,7.557e-03,3.3254e-04,2.413,152.5
radial,16,8192,corner_111,8.00,-2.40775103e-01,2.387e-05,1.830e-04,9.6419e-06,2.586,152.5
radial,16,8192,face_to_face_twist45,1.00,-2.08924311e+02,5.435e-03,5.218e-03,1.9152e+00,2.407,152.5
radial,16,8192,face_to_face_twist45,2.99,-2.02612203e+01,8.819e-04,3.386e-03,3.0000e-02,2.428,152.5
radial,16,8192,face_to_face_twist45,8.00,-1.36734454e+00,3.677e-04,5.912e-04,8.4370e-04,2.469,152.5
