R_nm,E_kcalmol_per_NC_axis,halfwidth_kcalmol
8.374666,-0.734767,0.059737
8.393743,-0.734767,0.059737
8.412820,-0.734767,0.059737
8.431896,-0.734767,0.059737
8.450973,-0.734767,0.059737
8.470050,-0.734767,0.059737
8.489126,-0.734767,0.059737
8.508203,-0.698925,0.023895
8.527280,-0.698925,0.023895
8.546356,-0.698925,0.023895
8.565433,-0.698925,0.023895
8.584510,-0.698925,0.023895
8.603586,-0.698925,0.023895
8.622663,-0.698925,0.023895
8.641740,-0.698925,0.023895
8.660816,-0.698925,0.023895
8.679893,-0.698925,0.023895
8.698970,-0.698925,0.023895
8.718047,-0.698925,0.023895
8.737123,-0.698925,0.023895
8.756200,-0.651135,0.071685
8.775277,-0.651135,0.071685
8.794353,-0.651135,0.071685
8.813430,-0.651135,0.071685
8.832507,-0.651135,0.071685
8.851583,-0.651135,0.071685
8.870660,-0.651135,0.071685
8.889737,-0.651135,0.071685
8.908813,-0.651135,0.071685
8.927890,-0.651135,0.071685
8.946967,-0.651135,0.071685
8.966043,-0.651135,0.071685
8.985120,-0.651135,0.071685
9.004197,-0.651135,0.071685
9.023274,-0.651135,0.071685
9.042350,-0.651135,0.071685
9.061427,-0.651135,0.071685
9.080504,-0.615293,0.035842
9.099580,-0.615293,0.035842
9.118657,-0.615293,0.035842
9.137734,-0.615293,0.035842
9.156810,-0.615293,0.035842
9.175887,-0.615293,0.035842
9.194964,-0.615293,0.035842
9.214040,-0.615293,0.035842
9.233117,-0.615293,0.035842
9.252194,-0.615293,0.035842
9.271271,-0.615293,0.035842
9.290347,-0.615293,0.035842
9.309424,-0.615293,0.035842
9.328501,-0.579450,0.071685
9.347577,-0.579450,0.071685
9.366654,-0.579450,0.071685
9.385731,-0.579450,0.071685
9.404807,-0.579450,0.071685
9.423884,-0.579450,0.071685
9.442961,-0.579450,0.071685
9.462037,-0.579450,0.071685
9.481114,-0.579450,0.071685
9.500191,-0.579450,0.071685
9.519267,-0.579450,0.071685
9.538344,-0.579450,0.071685
9.557421,-0.579450,0.071685
9.576498,-0.531661,0.023895
9.595574,-0.531661,0.023895
9.614651,-0.531661,0.023895
9.633728,-0.531661,0.023895
9.652804,-0.531661,0.023895
9.671881,-0.531661,0.023895
9.690958,-0.531661,0.023895
9.710034,-0.531661,0.023895
9.729111,-0.531661,0.023895
9.748188,-0.531661,0.023895
9.767264,-0.531661,0.023895
9.786341,-0.531661,0.023895
9.805418,-0.531661,0.023895
9.824494,-0.531661,0.023895
9.843571,-0.495818,0.059737
9.862648,-0.495818,0.059737
9.881725,-0.495818,0.059737
9.900801,-0.495818,0.059737
9.919878,-0.495818,0.059737
9.938955,-0.495818,0.059737
9.958031,-0.495818,0.059737
9.977108,-0.495818,0.059737
9.996185,-0.495818,0.059737
10.015261,-0.495818,0.059737
10.034338,-0.495818,0.059737
10.053415,-0.495818,0.059737
10.072491,-0.495818,0.059737
10.091568,-0.495818,0.059737
10.110645,-0.495818,0.059737
10.129721,-0.495818,0.059737
10.148798,-0.495818,0.059737
10.167875,-0.495818,0.059737
10.186952,-0.495818,0.059737
10.206028,-0.495818,0.059737
10.225105,-0.459976,0.023895
10.244182,-0.459976,0.023895
10.263258,-0.459976,0.023895
10.282335,-0.459976,0.023895
10.301412,-0.459976,0.023895
