temperature_K,face_twist_halfwidth_deg,delta_Fmag_before_rotation_kBT,delta_Frotation_kBT,delta_Fmag_after_rotation_kBT,delta_Fcontact_after_rotation_kBT,delta_Fmag_before_rotation_J,delta_Frotation_J,delta_Fmag_after_rotation_J,delta_Fcontact_after_rotation_J
202.0,2.0,0.1266763945653513,-6.80239476332431,-6.675718368758959,-5.0126618412870645,3.5328918771012057e-22,-1.8971273445729673e-20,-1.8617984258019553e-20,-1.3979867648192513e-20
203.0,2.0,0.1429698273279525,-6.80239476332431,-6.6594249359963555,-5.004560805211515,4.007040327349359e-22,-1.906519064100556e-20,-1.8664486608270618e-20,-1.4026369998443582e-20
204.0,2.0,0.16109578945038328,-6.80239476332431,-6.641298973873926,-4.994546922161561,4.537301508421197e-22,-1.915910783628145e-20,-1.870537768543933e-20,-1.4067261075612293e-20
205.0,2.0,0.1812198739609303,-6.80239476332431,-6.621174889363379,-4.982455774488635,5.129121274167832e-22,-1.925302503155734e-20,-1.8740112904140557e-20,-1.4101996294313518e-20
206.0,2.0,0.20351607706816988,-6.80239476332431,-6.598878686256141,-4.9681145185409825,5.788275926734689e-22,-1.934694222683323e-20,-1.8768114634159763e-20,-1.4129998024332724e-20
207.0,2.0,0.22816603883069986,-6.80239476332431,-6.57422872449361,-4.951342644545191,6.520856316253236e-22,-1.944085942210912e-20,-1.8788773790483795e-20,-1.4150657180656756e-20
208.0,2.0,0.25535801422436966,-6.80239476332431,-6.54703674909994,-4.931953006074348,7.333243569201925e-22,-1.9534776617385008e-20,-1.8801452260464813e-20,-1.416333565063777e-20
209.0,2.0,0.2852855464576465,-6.80239476332431,-6.517109216866663,-4.90975314725268,8.232075372612146e-22,-1.9628693812660895e-20,-1.880548627539968e-20,-1.4167369665572644e-20
210.0,2.0,0.318145818496663,-6.80239476332431,-6.484248944827645,-4.884546951735633,9.224201829393585e-22,-1.9722611007936785e-20,-1.880019082499742e-20,-1.4162074215170383e-20
211.0,2.0,0.3541376650734265,-6.80239476332431,-6.448257098250885,-4.856136631192484,1.031663005737978e-21,-1.9816528203212675e-20,-1.87848651974747e-20,-1.4146748587647666e-20
212.0,2.0,0.39345923633691493,-6.80239476332431,-6.4089355269873955,-4.8243250621321,1.1516456945213695e-21,-1.9910445398488565e-20,-1.8758799703967195e-20,-1.412068309414016e-20
213.0,2.0,0.43630531598929645,-6.80239476332431,-6.366089447335016,-4.788918468230213,1.2830789811986022e-21,-2.0004362593764455e-20,-1.8721283612565857e-20,-1.4083167002738815e-20
214.0,2.0,0.4828643112286004,-6.80239476332431,-6.319530452095709,-4.74972943083719,1.4266655148475957e-21,-2.0098279789040342e-20,-1.8671614274192744e-20,-1.4033497664365702e-20
215.0,2.0,0.5333149489118518,-6.80239476332431,-6.269079814412459,-4.706580193252817,1.5830896144354286e-21,-2.0192196984316232e-20,-1.8609107369880807e-20,-1.3970990760053765e-20
216.0,2.0,0.5878227315927025,-6.80239476332431,-6.214572031731608,-4.659306205114371,1.7530060317495835e-21,-2.0286114179592123e-20,-1.8533108147842542e-20,-1.3894991538015493e-20
217.0,2.0,0.6465362274883555,-6.80239476332431,-6.155858535835954,-4.6077598328436835,1.937027923201888e-21,-2.0380031374868013e-20,-1.844300345166612e-20,-1.3804886841839085e-20
218.0,2.0,0.7095832886713445,-6.80239476332431,-6.092811474652967,-4.551814141857907,2.1357142982673506e-21,-2.0473948570143903e-20,-1.8338234271876554e-20,-1.3700117662049512e-20
219.0,2.0,0.7770673099248084,-6.80239476332431,-6.025327453399502,-4.49136663810579,2.3495572775930255e-21,-2.056786576541979e-20,-1.8218308487826768e-20,-1.3580191877999726e-20
