geometry,temperature_K,window_s,center_distance_nm,rotation_mobility,extra_contact_barrier_kBT,tau_B_free_s,tau_joint_s,hexane_viscosity_Pa_s,Udd_time_mean_J,Udd_end_J,Udd_eq_J,Udd_initial_J,Neel_only_Udd_time_mean_J,vdW_J,Brownian_max_transition_barrier_J,detailed_balance_relative_error,kBT_J,Udd_time_mean_kBT,Udd_end_kBT,Udd_eq_kBT,Udd_initial_kBT,Neel_only_Udd_time_mean_kBT,vdW_kBT,Brownian_max_transition_barrier_kBT,kBT_kBT
face,254.0,20.0,19.0,1.0,0.0,1.4988848799207609e-06,0.002860089202567803,0.0004878705444682346,-2.5883604413558696e-20,-2.5883606364812895e-20,-2.588360636481292e-20,0.0,-1.9933595429380378e-20,-4.8834370285786125e-21,2.6490341049134006e-20,5.580361644077286e-17,3.50684846e-21,-7.380873370718361,-7.3808739271308275,-7.380873927130834,0.0,-5.68419070762481,-1.3925429297217513,7.553888156642504,1.0
face,255.0,20.0,19.0,1.0,0.0,1.474586972426643e-06,0.00273159623678995,0.0004818514563487896,-2.5874541847594004e-20,-2.5874543766099723e-20,-2.5874543766099723e-20,0.0,-2.0374371578880194e-20,-4.8834370285786125e-21,2.6490341049134006e-20,3.9200891894622084e-17,3.5206549500000006e-21,-7.349354655614291,-7.349355200542933,-7.349355200542933,0.0,-5.787096965830233,-1.3870819770561758,7.52426506583214,1.0
face,256.0,20.0,19.0,1.0,0.0,1.4507913218986208e-06,0.0026096747407736045,0.0004759348613438821,-2.5865416042428607e-20,-2.5865417928870316e-20,-2.5865417928870292e-20,0.0,-2.0787381385107796e-20,-4.8834370285786125e-21,2.6490341049134006e-20,3.855591414893486e-17,3.53446144e-21,-7.3180642882975135,-7.318064822025704,-7.318064822025698,0.0,-5.881343378047377,-1.3816636880833002,7.494873405418734,1.0
face,257.0,20.0,19.0,1.0,0.0,1.4274857622302419e-06,0.002493950740912522,0.00047011868360452173,-2.5856227324283657e-20,-2.5856229179329148e-20,-2.5856229179329172e-20,0.0,-2.1172396445396284e-20,-4.8834370285786125e-21,2.6490341049134006e-20,4.930178667367826e-17,3.54826793e-21,-7.286999695167793,-7.287000217970899,-7.287000217970905,0.0,-5.966966661786525,-1.3762875647833654,7.465710473880141,1.0
face,258.0,20.0,19.0,1.0,0.0,1.4046584558551029e-06,0.002384073580988842,0.00046440089354076114,-2.5846976021903284e-20,-2.5846977846204165e-20,-2.5846977846204183e-20,0.0,-2.152964033228687e-20,-4.8834370285786125e-21,2.6490341049134006e-20,3.7306171203597015e-17,3.56207442e-21,-7.256158343233964,-7.256158855379603,-7.256158855379608,0.0,-6.044129850685958,-1.3709531168578484,7.436773611578279,1.0
face,259.0,20.0,19.0,1.0,0.0,1.38229788425973e-06,0.002279714347325247,0.0004587795067780007,-2.5837662466449007e-20,-2.5837664260641112e-20,-2.5837664260641088e-20,0.0,-2.1859747774624356e-20,-4.8834370285786125e-21,2.6490341049134006e-20,5.1381051275766796e-17,3.57588091e-21,-7.225537739300442,-7.225538241048724,-7.225538241048718,0.0,-6.113108440914034,-1.365659861580405,7.408060199950564,1.0
face,260.0,20.0,19.0,1.0,0.0,1.3603928387752672e-06,0.0021805644081456473,0.0004532525831332399,-2.5828286991395868e-20,-2.5828288756099683e-20,-2.5828288756099683e-20,0.0,-2.216370399920214e-20,-4.8834370285786125e-21,2.6490341049134006e-20,5.0551026785729686e-17,3.5896874e-21,-7.195135429172987,-7.195135920776745,-7.195135920776745,0.0,-6.1742713304791215,-1.3604073236512495,7.379567660719984,1.0
face,261.0,20.0,19.0,1.0,0.0,1.3389324116403761e-06,0.0020863340583414255,0.00044781822561123857,-2.5818849932430485e-20,-2.5818851668251587e-20,-2.5818851668251593e-20,0.0,-2.2442770281778756e-20,-4.8834370285786125e-21,2.6490341049134006e-20,5.329086262744699e-17,3.60349389e-21,-7.164948996883268,-7.16494947858829,-7.164949478588291,0.0,-6.228058369700401,-1.3551950350548847,7.351293455123357,1.0
face,262.0,20.0,19.0,1.0,0.0,1.3179059873278584e-06,0.001996751261473458,0.00044247457942050565,-2.5809351627350947e-20,-2.5809353334880366e-20,-2.5809353334880396e-20,0.0,-2.2698403189342186e-20,-4.8834370285786125e-21,2.6490341049134006e-20,3.845440514512248e-17,3.61730038e-21,-7.134976063931673,-7.134976535976911,-7.13497653597692,0.0,-6.27495668174015,-1.3500225349210873,7.323235083157236,1.0
face,263.0,20.0,19.0,1.0,0.0,1.2973032341276683e-06,0.0019115604816204131,0.0004372198310090094,-2.5799792415968535e-20,-2.579979409578317e-20,-2.579979409578318e-20,0.0,-2.2932175203323327e-20,-4.8834370285786125e-21,2.6490341049134006e-20,3.784166353049113e-17,3.63110687e-21,-7.105214288547925,-7.1052147511657155,-7.105214751165719,0.0,-6.3154779036628375,-1.344889369389068,7.29539008284105,1.0
face,264.0,20.0,19.0,1.0,0.0,1.2771140959791415e-06,0.0018305215982056687,0.0004320522071194836,-2.5790172640011272e-20,-2.5790174292674255e-20,-2.5790174292674246e-20,0.0,-2.3145703381191608e-20,-4.8834370285786125e-21,2.6490341049134006e-20,5.755493989150084e-17,3.64491336e-21,-7.07566136496898,-7.075661818385239,-7.075661818385237,0.0,-6.3501381501127385,-1.3397950914747154,7.2677560294969545,1.0
face,265.0,20.0,19.0,1.0,0.0,1.2573287845453793e-06,0.0017534088975112736,0.00042696997386416517,-2.5780492643029272e-20,-2.5780494269090335e-20,-2.578049426909037e-20,0.0,-2.334059072497664e-20,-4.8834370285786125e-21,2.6490341049134006e-20,5.331404892248022e-17,3.65871985e-21,-7.046315022733777,-7.046315467168205,-7.046315467168215,0.0,-6.379441903696628,-1.3347392609408486,7.240330535046024,1.0
face,266.0,20.0,19.0,1.0,0.0,1.2379377715229462e-06,0.0016800101351136564,0.0004219714358188053,-2.577075277030187e-20,-2.5770754370297738e-20,-2.5770754370297726e-20,0.0,-2.3518382479712206e-20,-4.8834370285786125e-21,2.6490341049134006e-20,3.279754680559035e-17,3.67252634e-21,-7.0171730259943805,-7.017173461660655,-7.017173461660652,0.0,-6.403870334041554,-1.3297214441703942,7.213111247320286,1.0
