geometry,temperature_K,tilt_halfangle_deg,face_twist_halfwidth_deg,orientation_fraction_per_particle,conditional_magnetic_F_kBT,geometric_rotation_cost_kBT,magnetic_plus_rotation_F_kBT,Udd_kBT,delta_Uani_kBT,delta_Umag_kBT,total_magnetic_rotational_entropy_change_over_kB,F_scramble_standard_error_kBT,nominal_posture_vdW_kBT,partial_F_with_nominal_vdW_kBT,minimum_importance_ESS_fraction,assembly_delta_G_J,conditional_magnetic_F_J,geometric_rotation_cost_J,magnetic_plus_rotation_F_J,Udd_J,delta_Uani_J,delta_Umag_J,F_scramble_standard_error_J,nominal_posture_vdW_J,partial_F_with_nominal_vdW_J
face,215.0,2.0,10.0,0.00040611532060282524,-6.818416525608715,15.617746795601722,8.799330269993007,-8.765693358787264,-0.010538595885966506,-8.77623195467323,-17.575562224666236,0.0002542995045796493,-3.0738182753823615,5.725511994610645,0.12617832146145996,nan,-2.0239755908980068e-20,4.635964696554156e-20,2.6119891056561488e-20,-2.6020043405749993e-20,-3.128271902343211e-23,-2.605132612477343e-20,7.548614669015348e-25,-9.124307875390023e-21,1.699558318117147e-20
tip,215.0,2.0,10.0,0.0024366919236169515,-1.2716876624277462,12.034227857145611,10.762540194717864,-2.472857401575644,-0.0055529575344173245,-2.4784103591100615,-13.240950553827926,0.00015434671988050783,-0.12446054558735317,10.63807964913051,0.13913731817056868,nan,-3.7748717438028916e-21,3.57223460119915e-20,3.1947474268188605e-20,-7.340418412050224e-21,-1.6483373323911852e-23,-7.356901785374136e-21,4.581620855810521e-25,-3.694481047799622e-22,3.157802616340864e-20
face,220.0,2.0,1.0,4.0611532060282525e-05,-6.652842595100113,20.22291698158981,13.570074386489699,-8.605568715021708,-0.011955170870136703,-8.617523885891844,-22.187598272381543,0.0003532247385353794,-3.0039587691236713,10.566115617366027,0.12618400382437714,nan,-2.0207529047381228e-20,6.142565023697299e-20,4.121812118959176e-20,-2.6138793649817213e-20,-3.6312968354703413e-23,-2.6175106618171914e-20,1.0728946404750928e-24,-9.124307875390021e-21,3.209381331420173e-20
tip,220.0,2.0,1.0,0.0024366919236169515,-1.2159373795250297,12.034227857145611,10.81829047762058,-2.368540632949867,-0.007854046477269441,-2.3763946794271367,-13.194685157047717,0.00011020292454371386,-0.12163189682400424,10.696658580796576,0.14738887768757392,nan,-3.693321999628476e-21,3.655309824482851e-20,3.285977624520003e-20,-7.194271163951522e-21,-2.385609911255027e-23,-7.218127263064073e-21,3.3473342665037883e-25,-3.694481047799622e-22,3.249032814042007e-20
face,220.0,2.0,2.0,8.122306412056505e-05,-6.651752867647197,18.83662262046992,12.184869752822724,-8.60390355811677,-0.01191436195381219,-8.615817920070581,-20.800687672893304,0.0003432506377070696,-3.0039587691236713,9.180910983699054,0.12621967124567468,nan,-2.020421907892132e-20,5.72148812055242e-20,3.701066212660287e-20,-2.6133735855942793e-20,-3.6189014217771464e-23,-2.6169924870160565e-20,1.0425990293391814e-24,-9.124307875390021e-21,2.7886354251212855e-20
tip,220.0,2.0,2.0,0.0024366919236169515,-1.2159373795250297,12.034227857145611,10.81829047762058,-2.368540632949867,-0.007854046477269441,-2.3763946794271367,-13.194685157047717,0.00011020292454371386,-0.12163189682400424,10.696658580796576,0.14738887768757392,nan,-3.693321999628476e-21,3.655309824482851e-20,3.285977624520003e-20,-7.194271163951522e-21,-2.385609911255027e-23,-7.218127263064073e-21,3.3473342665037883e-25,-3.694481047799622e-22,3.249032814042007e-20
face,220.0,2.0,5.0,0.00020305766030141262,-6.6442993307102025,17.004041156721613,10.35974182601141,-8.59247164129279,-0.011510910878766958,-8.603982552171557,-18.963724378182967,0.00031653320141582626,-3.0039587691236713,7.355783056887739,0.12645469450445984,nan,-2.0181579498620564e-20,5.164854732177039e-20,3.1466967823149826e-20,-2.6099012233974346e-20,-3.496356070648919e-23,-2.613397579468084e-20,9.6144674560343e-25,-9.124307875390021e-21,2.23426599477598e-20
tip,220.0,2.0,5.0,0.0024366919236169515,-1.2159373795250297,12.034227857145611,10.81829047762058,-2.368540632949867,-0.007854046477269441,-2.3763946794271367,-13.194685157047717,0.00011020292454371386,-0.12163189682400424,10.696658580796576,0.14738887768757392,nan,-3.693321999628476e-21,3.655309824482851e-20,3.285977624520003e-20,-7.194271163951522e-21,-2.385609911255027e-23,-7.218127263064073e-21,3.3473342665037883e-25,-3.694481047799622e-22,3.249032814042007e-20
face,220.0,2.0,10.0,0.00040611532060282524,-6.619114701599699,15.617746795601722,8.998632094002023,-8.553578760690861,-0.009975237557669327,-8.56355399824853,-17.562186092250553,0.00027999287890912713,-3.0039587691236713,5.9946733248783515,0.12719635557992123,nan,-2.010508300602763e-20,4.7437778290321596e-20,2.733269528429396e-20,-2.598087791721197e-20,-3.029906386926892e-23,-2.6011176981081238e-20,8.504581542006165e-25,-9.124307875390021e-21,1.820838740890394e-20
tip,220.0,2.0,10.0,0.0024366919236169515,-1.2159373795250297,12.034227857145611,10.81829047762058,-2.368540632949867,-0.007854046477269441,-2.3763946794271367,-13.194685157047717,0.00011020292454371386,-0.12163189682400424,10.696658580796576,0.14738887768757392,nan,-3.693321999628476e-21,3.655309824482851e-20,3.285977624520003e-20,-7.194271163951522e-21,-2.385609911255027e-23,-7.218127263064073e-21,3.3473342665037883e-25,-3.694481047799622e-22,3.249032814042007e-20
