gap_nm,centre_distance_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_per_particle_kcalmol,U_pair_J,U_pair_kBT_300K
1.6000,14.970000,-1.085069e+02,4.719751e+01,-6.130941e+01,-3.065471e+01,-4.259591e-19,-1.028403e+02
1.6500,15.020000,-1.046254e+02,4.567997e+01,-5.894546e+01,-2.947273e+01,-4.095351e-19,-9.887502e+01
1.7000,15.070000,-1.009171e+02,4.421713e+01,-5.670001e+01,-2.835001e+01,-3.939344e-19,-9.510851e+01
1.7500,15.120000,-9.737269e+01,4.280683e+01,-5.456587e+01,-2.728293e+01,-3.791070e-19,-9.152870e+01
1.8000,15.170000,-9.398330e+01,4.144698e+01,-5.253631e+01,-2.626816e+01,-3.650063e-19,-8.812433e+01
1.8500,15.220000,-9.074073e+01,4.013562e+01,-5.060512e+01,-2.530256e+01,-3.515889e-19,-8.488494e+01
1.9000,15.270000,-8.763729e+01,3.887082e+01,-4.876647e+01,-2.438323e+01,-3.388146e-19,-8.180080e+01
1.9500,15.320000,-8.466575e+01,3.765079e+01,-4.701496e+01,-2.350748e+01,-3.266456e-19,-7.886282e+01
2.0000,15.370000,-8.181931e+01,3.647376e+01,-4.534555e+01,-2.267278e+01,-3.150471e-19,-7.606256e+01
2.0500,15.420000,-7.909161e+01,3.533807e+01,-4.375354e+01,-2.187677e+01,-3.039862e-19,-7.339211e+01
2.1000,15.470000,-7.647665e+01,3.424212e+01,-4.223452e+01,-2.111726e+01,-2.934326e-19,-7.084413e+01
2.1500,15.520000,-7.396880e+01,3.318438e+01,-4.078442e+01,-2.039221e+01,-2.833577e-19,-6.841172e+01
2.2000,15.570000,-7.156276e+01,3.216337e+01,-3.939938e+01,-1.969969e+01,-2.737349e-19,-6.608846e+01
2.2500,15.620000,-6.925353e+01,3.117769e+01,-3.807584e+01,-1.903792e+01,-2.645393e-19,-6.386835e+01
2.3000,15.670000,-6.703642e+01,3.022599e+01,-3.681042e+01,-1.840521e+01,-2.557476e-19,-6.174575e+01
2.3500,15.720000,-6.490699e+01,2.930698e+01,-3.560001e+01,-1.780000e+01,-2.473380e-19,-5.971540e+01
2.4000,15.770000,-6.286105e+01,2.841941e+01,-3.444165e+01,-1.722082e+01,-2.392901e-19,-5.777236e+01
2.4500,15.820000,-6.089467e+01,2.756209e+01,-3.333258e+01,-1.666629e+01,-2.315846e-19,-5.591202e+01
2.5000,15.870000,-5.900412e+01,2.673389e+01,-3.227023e+01,-1.613511e+01,-2.242037e-19,-5.413003e+01
2.5500,15.920000,-5.718587e+01,2.593371e+01,-3.125216e+01,-1.562608e+01,-2.171305e-19,-5.242232e+01
2.6000,15.970000,-5.543659e+01,2.516104e+01,-3.027556e+01,-1.513778e+01,-2.103454e-19,-5.078417e+01
2.6500,16.020000,-5.375315e+01,2.441458e+01,-2.933857e+01,-1.466929e+01,-2.038355e-19,-4.921247e+01
2.7000,16.070000,-5.213256e+01,2.369306e+01,-2.843950e+01,-1.421975e+01,-1.975890e-19,-4.770438e+01
2.7500,16.120000,-5.057200e+01,2.299554e+01,-2.757646e+01,-1.378823e+01,-1.915928e-19,-4.625670e+01
2.8000,16.170000,-4.906880e+01,2.232116e+01,-2.674764e+01,-1.337382e+01,-1.858345e-19,-4.486645e+01
2.8500,16.220000,-4.762044e+01,2.166905e+01,-2.595138e+01,-1.297569e+01,-1.803023e-19,-4.353081e+01
2.9000,16.270000,-4.622450e+01,2.103841e+01,-2.518609e+01,-1.259304e+01,-1.749853e-19,-4.224711e+01
2.9500,16.320000,-4.487872e+01,2.042845e+01,-2.445027e+01,-1.222514e+01,-1.698730e-19,-4.101285e+01
3.0000,16.370000,-4.358094e+01,1.983842e+01,-2.374252e+01,-1.187126e+01,-1.649558e-19,-3.982567e+01
3.0500,16.420000,-4.232911e+01,1.926760e+01,-2.306151e+01,-1.153075e+01,-1.602243e-19,-3.868334e+01
3.1000,16.470000,-4.112127e+01,1.871529e+01,-2.240598e+01,-1.120299e+01,-1.556699e-19,-3.758375e+01
3.1500,16.520000,-3.995558e+01,1.818084e+01,-2.177474e+01,-1.088737e+01,-1.512842e-19,-3.652491e+01
3.2000,16.570000,-3.883028e+01,1.766363e+01,-2.116665e+01,-1.058333e+01,-1.470594e-19,-3.550491e+01
3.2500,16.620000,-3.774369e+01,1.716301e+01,-2.058069e+01,-1.029034e+01,-1.429884e-19,-3.452201e+01
