channel,temperature_K,size_cv,window_s,blocked_fraction,weight_both_free,weight_half_frozen,weight_both_frozen,kBT_J,U_pair_J,U_pair_equilibrium_J,U_pair_both_frozen_J,U_pair_half_frozen_J,vdW_pair_J,repulsive_weight,U_lattice_per_NC_J,U_lattice_per_NC_equilibrium_J,U_pair_excess_J,U_pair_kBT,U_pair_equilibrium_kBT,U_pair_both_frozen_kBT,U_pair_half_frozen_kBT,vdW_pair_kBT,U_lattice_per_NC_kBT,U_lattice_per_NC_equilibrium_kBT,U_pair_excess_kBT
face,239.0,0.0,20.0,0.939619565034898,0.0036457969265749164,0.11346927607705425,0.8828849269963709,3.2997511100000004e-21,-7.929804317748471e-21,-3.089518095735076e-20,-4.883437028578612e-21,-3.089518095735076e-20,-4.8834370285786125e-21,0.33108319068417796,-2.3789412953245412e-20,-9.268554287205228e-20,2.2965376639602288e-20,-2.4031522540342354,-9.362882207607093,-1.479941021545292,-9.362882207607093,-1.4799410215452922,-7.209456762102706,-28.08864662282128,6.959729953572857
face,240.0,0.0,20.0,0.9328084200563688,0.004514708415321387,0.1253537430566197,0.870131548528059,3.3135576e-21,-8.260492993280341e-21,-3.0887104019490313e-20,-4.883437028578612e-21,-3.088710401949028e-20,-4.8834370285786125e-21,0.3263008959274856,-2.4781478979841023e-20,-9.266131205847094e-20,2.2626611026209972e-20,-2.492937799928494,-9.32143265579277,-1.4737746006221868,-9.32143265579276,-1.473774600622187,-7.478813399785482,-27.964297967378307,6.828494855864275
face,241.0,0.0,20.0,0.9253258492203361,0.005576228794663976,0.13819584396999982,0.8562279272353363,3.32736409e-21,-8.620867152531945e-21,-3.08789593305421e-20,-4.883437028578612e-21,-3.0878959330542086e-20,-4.8834370285786125e-21,0.32108729307596173,-2.5862601457595835e-20,-9.263687799162629e-20,2.2258092178010153e-20,-2.5908998592732737,-9.280306721871876,-1.4676593533167006,-9.280306721871872,-1.4676593533167008,-7.772699577819822,-27.84092016561563,6.689406862598602
face,242.0,0.0,20.0,0.9171195678736578,0.0068691660294492194,0.152022532193786,0.8411083017767648,3.34117058e-21,-9.012604868389904e-21,-3.087074716488294e-20,-4.883437028578612e-21,-3.087074716488295e-20,-4.8834370285786125e-21,0.31541772574735605,-2.7037814605169713e-20,-9.261224149464882e-20,2.1858142296493036e-20,-2.697439311341567,-9.239500476172317,-1.4615946452451438,-9.23950047617232,-1.461594645245144,-8.0923179340247,-27.718501428516955,6.542061164830751
face,243.0,0.0,20.0,0.9081354099554643,0.008439102904050614,0.16685097428097023,0.8247099228149791,3.35497707e-21,-9.437303337908187e-21,-3.086246780122704e-20,-4.883437028578612e-21,-3.086246780122704e-20,-4.8834370285786125e-21,0.309268667414887,-2.831191001372456e-20,-9.258740340368113e-20,2.1425164463318855e-20,-2.8129263303454373,-9.199010055000775,-1.4555798524663572,-9.199010055000775,-1.4555798524663575,-8.43877899103631,-27.597030165002327,6.386083724655339
face,244.0,0.0,20.0,0.8983176752812073,0.010339295160217997,0.18268605911714936,0.8069746457226327,3.36878356e-21,-9.896437603841897e-21,-3.085412152249161e-20,-4.883437028578612e-21,-3.08541215224916e-20,-4.8834370285786125e-21,0.3026183186663262,-2.968931281152569e-20,-9.256236456747483e-20,2.0957683918649713e-20,-2.937688761412115,-9.158831659250797,-1.4496143612677246,-9.158831659250794,-1.4496143612677248,-8.813066284236346,-27.47649497775239,6.221142897838682
face,245.0,0.0,20.0,0.8876095750466144,0.012631607621202596,0.19951763466436598,0.7878507577144315,3.38259005e-21,-1.0391313273791018e-20,-3.0845708615664473e-20,-4.883437028578612e-21,-3.084570861566445e-20,-4.8834370285786125e-21,0.2954472923625482,-3.117393982137305e-20,-9.253712584699342e-20,2.0454395341873455e-20,-3.0719990067348,-9.118961553045564,-1.443697567956428,-9.118961553045557,-1.4436975679564281,-9.2159970202044,-27.356884659136693,6.046962546310764
face,246.0,0.0,20.0,0.8759537883780721,0.015387462617752111,0.2173174980083515,0.7672950393738964,3.39639654e-21,-1.0923013253876611e-20,-3.083722937167365e-20,-4.883437028578612e-21,-3.0837229371673624e-20,-4.8834370285786125e-21,0.2877393866815604,-3.276903976162983e-20,-9.251168811502094e-20,1.9914216117797037e-20,-3.216059469274047,-9.079396062414327,-1.437828878655792,-9.07939606241432,-1.4378288786557922,-9.648178407822142,-27.238188187242983,5.86333659314028
face,247.0,0.0,20.0,0.8632931428197991,0.018688764800087854,0.23603618476022614,0.745275050439686,3.4102030300000005e-21,-1.1492338776421335e-20,-3.082868408525868e-20,-4.883437028578612e-21,-3.082868408525871e-20,-4.8834370285786125e-21,0.27948244224499674,-3.4477016329264003e-20,-9.248605225577605e-20,1.9336345308837345e-20,-3.3699866768405675,-9.040131574001526,-1.432007709106578,-9.040131574001535,-1.4320077091065782,-10.109960030521702,-27.120394722004583,5.670144897160959
face,248.0,0.0,20.0,0.8495714312188665,0.022628754305540223,0.2555996289511866,0.7217716167432732,3.42400952e-21,-1.209974533728464e-20,-3.082007305484414e-20,-4.883437028578612e-21,-3.082007305484412e-20,-4.8834370285786125e-21,0.27066927465917034,-3.6299236011853916e-20,-9.246021916453242e-20,1.87203277175595e-20,-3.5337943036106507,-9.001164533807762,-1.426233484473084,-9.001164533807755,-1.4262334844730842,-10.601382910831951,-27.003493601423287,5.467370230197111
face,249.0,0.0,20.0,0.8347343763938557,0.02731272634592775,0.27590579452043307,0.6967814791336392,3.4378160100000005e-21,-1.2745274573575537e-20,-3.081139658241446e-20,-4.883437028578612e-21,-3.081139658241442e-20,-4.8834370285786125e-21,0.26129866778187616,-3.8235823720726615e-20,-9.243418974724337e-20,1.806612200883892e-20,-3.7073754198891917,-8.962491445961488,-1.4205056391539148,-8.962491445961478,-1.420505639153915,-11.122126259667576,-26.887474337884463,5.255116026072296
face,250.0,0.0,20.0,0.8187307530779822,0.03285853987967548,0.29682141408468476,0.6703200460356398,3.4516225e-21,-1.3428483607416738e-20,-3.080265497339148e-20,-4.883437028578612e-21,-3.0802654973391477e-20,-4.8834370285786125e-21,0.25137640583059473,-4.028545082225021e-20,-9.240796492017445e-20,1.7374171365974745e-20,-3.890484433745793,-8.924108871520996,-1.4148236165972992,-8.924108871520994,-1.4148236165972994,-11.671453301237378,-26.772326614562992,5.033624437775204
face,251.0,0.0,20.0,0.8015136737213157,0.03939682171960834,0.318179009118152,0.6424241691622397,3.4654289900000005e-21,-1.414837395087669e-20,-3.0793848536513506e-20,-4.883437028578612e-21,-3.079384853651348e-20,-4.8834370285786125e-21,0.2409163141509025,-4.2445121852630074e-20,-9.238154560954052e-20,1.6645474585636815e-20,-4.08271933769351,-8.886013427305432,-1.4091868691208158,-8.886013427305425,-1.409186869120816,-12.24815801308053,-26.658040281916296,4.803294089611922
face,252.0,0.0,20.0,0.7830420406169414,0.04707075613966091,0.3397744064867954,0.6131548373735437,3.47923548e-21,-1.4903322696906504e-20,-3.0784977583716075e-20,-4.883437028578612e-21,-3.078497758371604e-20,-4.8834370285786125e-21,0.22994126926703778,-4.470996809071951e-20,-9.235493275114822e-20,1.588165488680957e-20,-4.28350503510803,-8.848201784754181,-1.4035948577354158,-8.848201784754172,-1.403594857735416,-12.85051510532409,-26.544605354262547,4.564696749646152
face,253.0,0.0,20.0,0.7632821612794433,0.056035335168531514,0.36136500710405045,0.5825996577274181,3.4930419700000006e-21,-1.5691019385467082e-20,-3.077604243001506e-20,-4.883437028578612e-21,-3.0776042430015046e-20,-4.8834370285786125e-21,0.21848412910722087,-4.7073058156401247e-20,-9.232812729004517e-20,1.5085023044547976e-20,-4.492078686780588,-8.810670668813938,-1.3980470519736157,-8.810670668813934,-1.398047051973616,-13.476236060341765,-26.432012006441813,4.3185919820333485
face,254.0,0.0,20.0,0.7422095168634275,0.06645593319578746,0.38266909988157005,0.5508749669226425,3.50684846e-21,-1.6508412593336508e-20,-3.076704339339153e-20,-4.883437028578612e-21,-3.0767043393391506e-20,-4.8834370285786125e-21,0.20658852460644322,-4.9525237780009524e-20,-9.230113018017459e-20,1.4258630800055022e-20,-4.707478176384191,-8.773416856852585,-1.3925429297217513,-8.773416856852577,-1.3925429297217513,-14.12243452915257,-26.320250570557754,4.065938680468395
face,255.0,0.0,20.0,0.719810664513988,0.07850606372009297,0.40336654353183804,0.518127392748069,3.5206549500000006e-21,-1.7351670894603286e-20,-3.075798079467836e-20,-4.883437028578612e-21,-3.0757980794678334e-20,-4.8834370285786125e-21,0.19430944504606518,-5.205501268380986e-20,-9.227394238403507e-20,1.3406309900075072e-20,-4.928534929162337,-8.736437177599115,-1.3870819770561755,-8.736437177599107,-1.3870819770561758,-14.785604787487012,-26.209311532797344,3.8079022484367773
face,256.0,0.0,20.0,0.696085243805224,0.09236417903293016,0.4231011543236918,0.4845346666433781,3.53446144e-21,-1.8216163303692093e-20,-3.074885495744893e-20,-4.883437028578612e-21,-3.074885495744893e-20,-4.8834370285786125e-21,0.1817135425513541,-5.464848991107627e-20,-9.224656487234678e-20,1.2532691653756835e-20,-5.153872411094147,-8.699728510109004,-1.3816636880833,-8.699728510109004,-1.3816636880833002,-15.46161723328244,-26.099185530327013,3.545856099014857
face,257.0,0.0,20.0,0.6710480448630793,0.10820938878840267,0.441485132697036,0.4503054785145613,3.54826793e-21,-1.9096464554727782e-20,-3.0739666207907753e-20,-4.883437028578612e-21,-3.0739666207907753e-20,-4.8834370285786125e-21,0.1688790774346615,-5.728939366418335e-20,-9.221899862372326e-20,1.1643201653179971e-20,-5.381911662665165,-8.663287782754262,-1.3762875647833652,-8.663287782754262,-1.3762875647833654,-16.145734987995496,-25.989863348262787,3.2813761200890967
