channel,temperature_K,size_cv,window_s,bound_at_freeze,twist_halfwidth_deg,volume_fraction,frozen_pair_weight,mean_pair_freeze_temperature_K,kBT_J,U_pair_J,U_pair_equilibrium_J,U_pair_frozen_component_J,vdW_pair_J,repulsive_weight,U_lattice_per_NC_J,U_pair_excess_J,U_pair_kBT,U_pair_equilibrium_kBT,U_pair_frozen_component_kBT,vdW_pair_kBT,U_lattice_per_NC_kBT,U_pair_excess_kBT
face,222.0,0.1,20.0,0.0,5.0,0.01,0.525574804309212,272.3579786564653,3.06504078e-21,-1.7284173424637153e-20,-3.1021880999713866e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.19709273080985631,-5.185252027391146e-20,1.3737707575076713e-20,-5.639133266160704,-10.121196821307501,-1.593269838510472,-1.5932698385104724,-16.917399798482112,4.482063555146797
face,223.0,0.1,20.0,0.0,5.0,0.01,0.5182963516145208,272.3579786564653,3.0788472700000002e-21,-1.747110283883293e-20,-3.10149929186871e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.19436347600901024,-5.2413308516498786e-20,1.3543890079854174e-20,-5.6745597643214465,-10.073573061221417,-1.5861251307144613,-1.5861251307144613,-17.02367929296434,4.3990132968999704
face,224.0,0.1,20.0,0.0,5.0,0.01,0.5110178989198296,272.3579786564653,3.0926537600000002e-21,-1.765789696650094e-20,-3.1008033224846973e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.19163423180101197,-5.2973690899502824e-20,1.3350136258346032e-20,-5.7096262099837976,-10.026351357497896,-1.579044214952343,-1.5790442149523432,-17.12887862995139,4.316725147514099
face,225.0,0.1,20.0,0.0,5.0,0.01,0.5038140263502325,275.420414203295,3.1064602500000002e-21,-1.7842606481175813e-20,-3.100100209651909e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.1889329658827312,-5.352781944352744e-20,1.315839561534328e-20,-5.743709896553742,-9.979526406790201,-1.572026240663666,-1.572026240663666,-17.231129689661227,4.235816510236459
face,226.0,0.1,20.0,0.0,5.0,0.01,0.49663119151762547,275.420414203295,3.1202667400000002e-21,-1.8026629521941097e-20,-3.099389971892367e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.18623960067604484,-5.407988856582329e-20,1.2967270196982572e-20,-5.7772719526988565,-9.933093001825757,-1.5650703723421453,-1.5650703723421453,-17.33181585809657,4.155821049126899
face,227.0,0.1,20.0,0.0,5.0,0.01,0.4894483566850184,275.420414203295,3.1340732300000002e-21,-1.8210514253866555e-20,-3.098672628401225e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.18354624773568814,-5.463154276159967e-20,1.2776212030145694e-20,-5.81049417721058,-9.887046029237883,-1.5581757892040737,-1.5581757892040742,-17.43148253163174,4.076551852027303
face,228.0,0.1,20.0,0.0,5.0,0.01,0.4822655218524113,275.420414203295,3.1478797200000003e-21,-1.8394259248554242e-20,-3.09794819903054e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.1808529076826973,-5.518277774566273e-20,1.2585222741751158e-20,-5.843380587792675,-9.841380467454899,-1.5513416848654595,-1.55134168486546,-17.530141763378026,3.9979998796622245
face,229.0,0.1,20.0,0.0,5.0,0.01,0.4751559130371732,278.6110343330985,3.1616862100000003e-21,-1.8575952712876797e-20,-3.0972167042732294e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.17818704042003522,-5.57278581386304e-20,1.2396214329855497e-20,-5.875330908590323,-9.796091384645123,-1.5445672670276192,-1.5445672670276194,-17.62599272577097,3.9207604760547996
face,230.0,0.1,20.0,0.0,5.0,0.01,0.4681091910925307,278.6110343330985,3.1754927000000003e-21,-1.875586451797545e-20,-3.096478165247145e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.17554476942810587,-5.626759355392635e-20,1.2208917134496e-20,-5.906442335066759,-9.751173936715851,-1.537851757170977,-1.5378517571709776,-17.719327005200277,3.844731601649092
face,231.0,0.1,20.0,0.0,5.0,0.01,0.4610624691478882,278.6110343330985,3.1892991900000003e-21,-1.8935634390378066e-20,-3.095732603679369e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.17290251322321717,-5.68069031711342e-20,1.2021691646415626e-20,-5.937239895758436,-9.706623365365006,-1.531194390256817,-1.5311943902568175,-17.81171968727531,3.7693834696065704
face,232.0,0.1,20.0,0.0,5.0,0.01,0.45401574720324567,278.6110343330985,3.2031056800000003e-21,-1.9115260967375073e-20,-3.09498004189058e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.17026027251817488,-5.734578290212522e-20,1.1834539451530726e-20,-5.967727223840791,-9.66243499618339,-1.5245944144367445,-1.524594414436745,-17.903181671522375,3.6947077723425985
face,233.0,0.1,20.0,0.0,5.0,0.01,0.44700637344637134,281.93032276182885,3.2169121700000003e-21,-1.929376964798587e-20,-3.0942205027796704e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.16763205330718825,-5.788130894395761e-20,1.1648435379810834e-20,-5.997605352087019,-9.618604236806597,-1.518051090769634,-1.5180510907696345,-17.99281605626106,3.6209988847195764
face,234.0,0.1,20.0,0.0,5.0,0.01,0.44013441363957134,281.93032276182885,3.2307186600000003e-21,-1.9468553123923734e-20,-3.093454009808494e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.16505538007642762,-5.84056593717712e-20,1.1465986974161206e-20,-6.02607505412549,-9.575126575114695,-1.5115636929458323,-1.5115636929458327,-18.07822516237647,3.5490515209892046
face,235.0,0.1,20.0,0.0,5.0,0.01,0.43326245383277134,281.93032276182885,3.2445251500000003e-21,-1.9643191979618858e-20,-3.0926805869867713e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.16247872447571834,-5.892957593885658e-20,1.1283613890248856e-20,-6.054257887203881,-9.53199757747839,-1.505131507018403,-1.5051315070184035,-18.162773661611645,3.477739690274509
face,236.0,0.1,20.0,0.0,5.0,0.01,0.42639049402597134,281.93032276182885,3.2583316400000004e-21,-1.9817684927200884e-20,-3.0919002588572053e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.15990208731421898,-5.945305478160266e-20,1.1101317661371169e-20,-6.08215710270698,-9.489212887050396,-1.4987538311412065,-1.498753831141207,-18.24647130812094,3.4070557843434157
face,237.0,0.1,20.0,0.0,5.0,0.01,0.41951853421917135,281.93032276182885,3.2721381300000004e-21,-1.9992030688554005e-20,-3.091113050480739e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.15732546942889253,-5.997609206566202e-20,1.0919099816253386e-20,-6.109775900124975,-9.446768222100511,-1.4924299753136068,-1.492429975313607,-18.329327700374925,3.336992321975535
face,238.0,0.1,20.0,0.0,5.0,0.01,0.41281649552987165,285.37867739786907,3.2859446200000004e-21,-2.0161806689929116e-20,-3.090318987422034e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.15481259025081257,-6.048542006978735e-20,1.0741383184291223e-20,-6.135771907783739,-9.404659374393333,-1.4861592611316168,-1.486159261131617,-18.407315723351218,3.268887466609593
face,239.0,0.1,20.0,0.0,5.0,0.01,0.40615540622685214,285.37867739786907,3.2997511100000004e-21,-2.033037053529145e-20,-3.089518095735076e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.15231508746821174,-6.099111160587435e-20,1.056481042205931e-20,-6.161183027919777,-9.362882207607093,-1.479941021545292,-1.4799410215452922,-18.483549083759332,3.2016991796873153
face,240.0,0.1,20.0,0.0,5.0,0.01,0.39949431692383264,285.37867739786907,3.3135576e-21,-2.0498786837441227e-20,-3.0887104019490313e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.14981760639472166,-6.149636051232369e-20,1.0388317182049086e-20,-6.186337861590584,-9.32143265579277,-1.4737746006221866,-1.473774600622187,-18.55901358477175,3.135094794202185
face,241.0,0.1,20.0,0.0,5.0,0.01,0.39283322762081313,285.37867739786907,3.32736409e-21,-2.0667054400972953e-20,-3.08789593305421e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.1473201479686902,-6.200116320291886e-20,1.0211904929569144e-20,-6.211239239819094,-9.280306721871876,-1.4676593533167004,-1.4676593533167008,-18.633717719457284,3.0690674820527812
face,242.0,0.1,20.0,0.0,5.0,0.01,0.386248426570601,288.9564258944769,3.34117058e-21,-2.0833189513933163e-20,-3.087074716488294e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.14485132023899133,-6.249956854179949e-20,1.0037557650949777e-20,-6.235296586962394,-9.239500476172317,-1.4615946452451436,-1.461594645245144,-18.70588976088718,3.004203889209924
face,243.0,0.1,20.0,0.0,5.0,0.01,0.3798311427246744,288.9564258944769,3.35497707e-21,-2.099482285597251e-20,-3.086246780122704e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.1424453336370751,-6.298446856791754e-20,9.867644945254531e-21,-6.257814112563372,-9.199010055000775,-1.455579852466357,-1.4555798524663575,-18.773442337690117,2.941195942437404
face,244.0,0.1,20.0,0.0,5.0,0.01,0.3734138588787478,288.9564258944769,3.36878356e-21,-2.1156308007897097e-20,-3.085412152249161e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.1400393723429492,-6.346892402369129e-20,9.697813514594513e-21,-6.280103079076144,-9.158831659250797,-1.4496143612677244,-1.4496143612677248,-18.840309237228436,2.878728580174653
face,245.0,0.1,20.0,0.0,5.0,0.01,0.3669965750328212,288.9564258944769,3.38259005e-21,-2.1317643863132033e-20,-3.0845708615664473e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.13763343739811604,-6.39529315893961e-20,9.52806475253244e-21,-6.302165958045088,-9.118961553045564,-1.443697567956428,-1.4436975679564281,-18.906497874135265,2.816795595000476
face,246.0,0.1,20.0,0.0,5.0,0.01,0.36057929118689463,288.9564258944769,3.39639654e-21,-2.1478829324988586e-20,-3.083722937167365e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.13522752987551018,-6.443648797496575e-20,9.358400046685062e-21,-6.32400518373764,-9.079396062414327,-1.4378288786557918,-1.4378288786557922,-18.97201555121292,2.7553908786766876
face,247.0,0.1,20.0,0.0,5.0,0.01,0.3543622983751449,292.66384032120993,3.4102030300000005e-21,-2.1634666706342566e-20,-3.082868408525868e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.1328967566380557,-6.49040001190277e-20,9.194017378916114e-21,-6.344099314914562,-9.040131574001526,-1.432007709106578,-1.4320077091065782,-19.032297944743686,2.696032259086965
face,248.0,0.1,20.0,0.0,5.0,0.01,0.3482180317927913,292.66384032120993,3.42400952e-21,-2.1788468706451956e-20,-3.082007305484414e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.13059328379381802,-6.536540611935587e-20,9.031604348392186e-21,-6.363436952842338,-9.001164533807762,-1.426233484473084,-1.4262334844730842,-19.090310858527015,2.6377275809654246
face,249.0,0.1,20.0,0.0,5.0,0.01,0.3420737652104378,292.66384032120993,3.4378160100000005e-21,-2.194212183360989e-20,-3.081139658241446e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.12828984132272875,-6.582636550082967e-20,8.869274748804569e-21,-6.3825759638631405,-8.962491445961488,-1.4205056391539146,-1.420505639153915,-19.147727891589422,2.5799154820983476
face,250.0,0.1,20.0,0.0,5.0,0.01,0.33592949862808424,292.66384032120993,3.4516225e-21,-2.2095625084358448e-20,-3.080265497339148e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.12598643040228646,-6.628687525307535e-20,8.707029889033035e-21,-6.4015184407792125,-8.924108871520996,-1.4148236165972992,-1.4148236165972994,-19.204555322337637,2.5225904307417846
face,251.0,0.1,20.0,0.0,5.0,0.01,0.32980506926950365,296.50115083114173,3.4654289900000005e-21,-2.2248463474337695e-20,-3.0793848536513506e-20,-4.883437028578611e-21,-4.8834370285786125e-21,0.12369049079970419,-6.674539042301308e-20,8.545385062175811e-21,-6.42011812636729,-8.886013427305432,-1.4091868691208156,-1.409186869120816,-19.26035437910187,2.4658953009381417
face,252.0,0.1,20.0,0.0,5.0,0.01,0.3239588587628085,296.50115083114173,3.47923548e-21,-2.2393944065275142e-20,-3.0784977583716075e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.12149891133361808,-6.718183219582543e-20,8.391033518440933e-21,-6.436455420739484,-8.848201784754181,-1.4035948577354158,-1.403594857735416,-19.309366262218454,2.411746364014698
face,253.0,0.1,20.0,0.0,5.0,0.01,0.31811264825611335,296.50115083114173,3.4930419700000006e-21,-2.2539277155513562e-20,-3.077604243001506e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.11930736657310156,-6.761783146654069e-20,8.236765274501496e-21,-6.452621339535052,-8.810670668813938,-1.3980470519736157,-1.398047051973616,-19.357864018605156,2.358049329278885
face,254.0,0.1,20.0,0.0,5.0,0.01,0.31226643774941815,296.50115083114173,3.50684846e-21,-2.268446183774323e-20,-3.076704339339153e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.11711585779869516,-6.805338551322969e-20,8.082581555648299e-21,-6.4686176481498805,-8.773416856852585,-1.3925429297217513,-1.3925429297217513,-19.40585294444964,2.3047992087027045
face,255.0,0.1,20.0,0.0,5.0,0.01,0.306420227242723,296.50115083114173,3.5206549500000006e-21,-2.2829497214068295e-20,-3.075798079467836e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.11492438632475482,-6.848849164220489e-20,7.928483580610063e-21,-6.48444608696126,-8.736437177599115,-1.3870819770561758,-1.3870819770561758,-19.453338260883783,2.251991090637855
face,256.0,0.1,20.0,0.0,5.0,0.01,0.3006728752225062,300.46855823949073,3.53446144e-21,-2.297182537994373e-20,-3.074885495744893e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.112770022930966,-6.891547613983119e-20,7.777029577505197e-21,-6.499384919005858,-8.699728510109004,-1.3816636880833002,-1.3816636880833002,-19.498154757017574,2.200343591103146
face,257.0,0.1,20.0,0.0,5.0,0.01,0.2951452498039302,300.46855823949073,3.54826793e-21,-2.3108322987786984e-20,-3.0739666207907753e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.110698091019043,-6.932496896336095e-20,7.631343220120769e-21,-6.512564283099947,-8.663287782754262,-1.3762875647833652,-1.3762875647833654,-19.537692849299845,2.150723499654314
face,258.0,0.1,20.0,0.0,5.0,0.01,0.28961762438535416,300.46855823949073,3.56207442e-21,-2.3244674553424242e-20,-3.073041487478277e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.10862619981654349,-6.973402366027273e-20,7.485740321358525e-21,-6.525600482379658,-8.627111972237449,-1.3709531168578484,-1.3709531168578484,-19.576801447138976,2.1015114898577902
face,259.0,0.1,20.0,0.0,5.0,0.01,0.2840899989667781,300.46855823949073,3.57588091e-21,-2.338087927611023e-20,-3.0721101289219723e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.10655435073828821,-7.014263782833069e-20,7.340222013109493e-21,-6.538494951195181,-8.591198102629129,-1.365659861580405,-1.365659861580405,-19.615484853585546,2.0527031514339478
face,260.0,0.1,20.0,0.0,5.0,0.01,0.27856237354820207,300.46855823949073,3.5896874e-21,-2.3516936364090845e-20,-3.071172578467832e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.10448254523375396,-7.055080909227253e-20,7.194789420587477e-21,-6.5512491043345005,-8.555543244428002,-1.3604073236512495,-1.3604073236512495,-19.6537473130035,2.004294140093501
face,261.0,0.1,20.0,0.0,5.0,0.01,0.2731897213340763,304.566245463842,3.60349389e-21,-2.364884380441472e-20,-3.0702288696830234e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.10246889488843104,-7.094653141324416e-20,7.053444892415513e-21,-6.56275396221491,-8.520144513643183,-1.3551950350548847,-1.3551950350548847,-19.68826188664473,1.9573905514282732
face,262.0,0.1,20.0,0.0,5.0,0.01,0.26799648506733276,304.566245463842,3.61730038e-21,-2.3775974387850202e-20,-3.0692790363458986e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.10052256583602671,-7.13279231635506e-20,6.916815975608784e-21,-6.5728504382182935,-8.484999070898,-1.350022534921087,-1.3500225349210873,-19.71855131465488,1.9121486326797068
face,263.0,0.1,20.0,0.0,5.0,0.01,0.26280324880058914,304.566245463842,3.63110687e-21,-2.3902961417603702e-20,-3.0683231124361774e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.09857628399227795,-7.170888425281111e-20,6.780269706758073e-21,-6.582830600522563,-8.450104120554782,-1.3448893693890678,-1.344889369389068,-19.74849180156769,1.8672735200322188
face,264.0,0.1,20.0,0.0,5.0,0.01,0.2576100125338455,304.566245463842,3.64491336e-21,-2.402980419846699e-20,-3.067361132125286e-20,-4.883437028578613e-21,-4.8834370285786125e-21,0.09663005090242413,-7.208941259540097e-20,6.643807122785874e-21,-6.59269558014048,-8.415456909859953,-1.3397950914747156,-1.3397950914747154,-19.778086740421443,1.8227613297194734
face,265.0,0.1,20.0,0.0,5.0,0.01,0.25241677626710196,304.566245463842,3.65871985e-21,-2.415650204369266e-20,-3.0663931297668934e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.09468386814675409,-7.246950613107798e-20,6.507429253976273e-21,-6.602446493325435,-8.38105472810905,-1.3347392609408486,-1.3347392609408486,-19.807339479976303,1.7786082347836152
face,266.0,0.1,20.0,0.0,5.0,0.01,0.24740471456304938,308.794387806091,3.67252634e-21,-2.4278385269818394e-20,-3.065419139887637e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.0928056708440761,-7.283515580945519e-20,6.375806129057973e-21,-6.610813108509493,-8.346894905831054,-1.3297214441703942,-1.3297214441703942,-19.83243932552848,1.7360817973215605
face,267.0,0.1,20.0,0.0,5.0,0.01,0.2425568567836536,308.794387806091,3.68633283e-21,-2.4395895713011686e-20,-3.0644391971779916e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.0909890964837108,-7.318768713903505e-20,6.2484962587682304e-21,-6.617930837517915,-8.312974813991474,-1.324741214042415,-1.3247412140424153,-19.853792512553742,1.6950439764735596
face,268.0,0.1,20.0,0.0,5.0,0.01,0.2377089990042578,308.794387806091,3.7001393200000004e-21,-2.4513266031480214e-20,-3.0634533364833596e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.08917257628577309,-7.353979809444064e-20,6.121267333353382e-21,-6.624957579024406,-8.27929186321384,-1.3197981498109137,-1.3197981498109137,-19.874872737073215,1.6543342841894346
face,269.0,0.1,20.0,0.0,5.0,0.01,0.23286114122486198,308.794387806091,3.71394581e-21,-2.4630495632971463e-20,-3.0624615927953155e-20,-4.883437028578612e-21,-4.8834370285786125e-21,0.08735611191962991,-7.389148689891439e-20,5.9941202949816926e-21,-6.6318941882922795,-8.245843503019005,-1.3148918369863376,-1.3148918369863378,-19.89568256487684,1.6139493147267252
face,270.0,0.1,20.0,0.0,5.0,0.01,0.22801328344546617,308.794387806091,3.7277523000000004e-21,-2.4747583933080245e-20,-3.061464001242997e-20,-4.8834370285786125e-21,-4.8834370285786125e-21,0.08553970508963735,-7.424275179924074e-20,5.867056079349727e-21,-6.638741510019387,-8.212627221081714,-1.3100218672197217,-1.3100218672197217,-19.916224530058162,1.5738857110623274
