assembly,temperature_K,volume_fraction,escape_length_nm,p_free,p_bound,kBT_J,p_face,p_tip,U_total_per_NC_J,U_total_per_NC_kBT
dimer,294.0,0.0001,0.5,0.9972998205870668,0.002700179412933174,4.05910806e-21,0.002675771290196411,2.4408122736762567e-05,-4.068569424158021e-23,-0.01002330897334628
dimer,296.0,0.0001,0.5,0.9974315221078967,0.002568477892103269,4.08672104e-21,0.0025442956735643235,2.4182218538945485e-05,-3.866005407336232e-23,-0.009459919993306497
dimer,298.0,0.0001,0.5,0.9975550454985236,0.0024449545014764095,4.11433402e-21,0.0024209918920507175,2.396260942569231e-05,-3.676104953374616e-23,-0.008934872413141157
dimer,300.0,0.0001,0.5,0.9976709887270148,0.002329011272985335,4.141947e-21,0.0023052622105041664,2.3749062481168872e-05,-3.497938557503308e-23,-0.008445155279638556
dimer,302.0,0.0001,0.5,0.9977799001041917,0.0022200998958082233,4.16955998e-21,0.002196558540686164,2.354135512205938e-05,-3.3306540940694004e-23,-0.007988022980951099
dimer,304.0,0.0001,0.5,0.9978822828604815,0.0021177171395184813,4.19717296e-21,0.002094377864923669,2.333927459481238e-05,-3.1734696724933155e-23,-0.007560969497176298
dimer,306.0,0.0001,0.5,0.9979785992622288,0.0020214007377713705,4.22478594e-21,0.0019982581202750162,2.3142617496354406e-05,-3.02566721297334e-23,-0.00716170536435117
dimer,308.0,0.0001,0.5,0.99806927431742,0.001930725682579954,4.25239892e-21,0.0019077744932622974,2.295118931765643e-05,-2.88658666380351e-23,-0.006788137044780149
dimer,310.0,0.0001,0.5,0.9981546991149899,0.0018453008850100178,4.2800119e-21,0.0018225360810005676,2.276480400945003e-05,-2.7556207912141354e-23,-0.006438348433596961
dimer,312.0,0.0001,0.5,0.9982352338368056,0.0017647661631944463,4.30762488e-21,0.0017421828796251196,2.258328356932682e-05,-2.6322104805824884e-23,-0.006110584263740459
dimer,314.0,0.0001,0.5,0.9983112104769769,0.0016887895230231363,4.33523786e-21,0.0016663830653737227,2.240645764941358e-05,-2.5158404948352802e-23,-0.005803235199729687
dimer,316.0,0.0001,0.5,0.9983829352992173,0.0016170647007827227,4.36285084e-21,0.0015948305375989322,2.223416318379057e-05,-2.4060356419969662e-23,-0.005514824435292787
dimer,318.0,0.0001,0.5,0.9984506910595308,0.0015493089404693043,4.39046382e-21,0.0015272426964344945,2.2066244034809716e-05,-2.302357309235498e-23,-0.005243995631503684
