assembly,channel,dipole_manifold,temperature_K,twist_halfwidth_deg,volume_fraction,twist_registry_weight,twist_free_energy_cost_kBT,orbit_count,alpha,p_pair,p_free,kBT_J,vdW_pair_J,U_bound_conditional_per_NC_J,U_total_per_NC_J,vdW_pair_kBT,U_bound_conditional_per_NC_kBT,U_total_per_NC_kBT
dimer,face,free,241.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0005226436784120647,0.999477356321588,3.32736409e-21,-4.8834370285786125e-21,-1.543947966527105e-20,-8.069346445025535e-24,-1.4676593533167008,-4.640153360935938,-0.0024251468209556637
dimer,face,free,242.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0005029930232918888,0.9994970069767081,3.34117058e-21,-4.8834370285786125e-21,-1.543537358244147e-20,-7.763885223871987e-24,-1.461594645245144,-4.619750238086159,-0.00232370213910838
dimer,face,free,243.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00048423848005293746,0.999515761519947,3.35497707e-21,-4.8834370285786125e-21,-1.543123390061352e-20,-7.472397249374453e-24,-1.4555798524663575,-4.5995050275003875,-0.0022272573235126323
dimer,face,free,244.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0004663328502340061,0.999533667149766,3.36878356e-21,-4.8834370285786125e-21,-1.5427060761245805e-20,-7.194145215524952e-24,-1.4496143612677248,-4.579415829625399,-0.0021355320362359377
dimer,face,free,245.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00044923172931353277,0.9995507682706865,3.38259005e-21,-4.8834370285786125e-21,-1.5422854307832237e-20,-6.928435511658144e-24,-1.4436975679564281,-4.559480776522782,-0.0020482634340091383
dimer,face,free,246.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00043289332418306245,0.9995671066758169,3.39639654e-21,-4.8834370285786125e-21,-1.5418614685836824e-20,-6.674615365649688e-24,-1.4378288786557922,-4.5396980312071635,-0.0019652049715165733
dimer,face,free,247.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0004172782836073826,0.9995827217163926,3.4102030300000005e-21,-4.8834370285786125e-21,-1.541434204262934e-20,-6.4320701904854876e-24,-1.4320077091065782,-4.520065787000763,-0.0018861252933921318
dimer,face,free,248.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0004023495406752847,0.9995976504593247,3.42400952e-21,-4.8834370285786125e-21,-1.541003652742207e-20,-6.200221118597629e-24,-1.4262334844730842,-4.500582266903881,-0.001810807207860108
dimer,face,free,249.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00038807216632655756,0.9996119278336735,3.4378160100000005e-21,-4.8834370285786125e-21,-1.540569829120723e-20,-5.978522709642135e-24,-1.420505639153915,-4.481245722980744,-0.001739046735558758
dimer,face,free,250.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0003744132331154177,0.9996255867668846,3.4516225e-21,-4.8834370285786125e-21,-1.540132748669574e-20,-5.766460818563102e-24,-1.4148236165972994,-4.462054435760498,-0.001670652227630079
dimer,face,free,251.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.000361341688438641,0.9996386583115614,3.4654289900000005e-21,-4.8834370285786125e-21,-1.5396924268256753e-20,-5.563550611853782e-24,-1.409186869120816,-4.443006713652716,-0.0016054435476554898
dimer,face,free,252.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.00034882823651895533,0.9996511717634811,3.47923548e-21,-4.8834370285786125e-21,-1.5392488791858037e-20,-5.369334720901624e-24,-1.403594857735416,-4.424100892377091,-0.0015432513124698372
dimer,face,free,253.0,1.0,0.01,0.0002777777777777778,8.1886891244442,1,3.238403885536354e-07,0.0003368452284910986,0.9996631547715089,3.4930419700000006e-21,-4.8834370285786125e-21,-1.538802121500753e-20,-5.183381522195084e-24,-1.398047051973616,-4.405335334406969,-0.0014839161872982256
