assembly,temperature_K,state_index,contact,spin1_index,spin2_index,energy_per_NC_J,p_equilibrium,p_window_mean
superlattice,279.0,188,tip,7,4,1.468920023867483e-20,8.994735902633182e-14,2.1018704487027316e-13
superlattice,279.0,189,tip,7,5,-1.665176358868741e-20,3.0727101493067336e-10,7.332828540566328e-10
superlattice,279.0,190,tip,7,6,-1.665176358868741e-20,3.0727101493067336e-10,7.332828540566631e-10
superlattice,279.0,191,tip,7,7,-4.7992727416049647e-20,1.0496748057815229e-06,2.6337324454368527e-06
superlattice,280.0,0,free,0,0,0.0,3.814036138800346e-09,9.017024062046798e-09
superlattice,280.0,1,free,0,1,0.0,3.814036138800346e-09,8.549649260002328e-09
superlattice,280.0,2,free,0,2,0.0,3.814036138800346e-09,8.549649260002318e-09
superlattice,280.0,3,free,0,3,0.0,3.814036138800346e-09,8.420180385319663e-09
superlattice,280.0,4,free,0,4,0.0,3.814036138800346e-09,9.50810222948328e-09
superlattice,280.0,5,free,0,5,0.0,3.814036138800346e-09,9.391465061858946e-09
superlattice,280.0,6,free,0,6,0.0,3.814036138800346e-09,9.391465061858861e-09
superlattice,280.0,7,free,0,7,0.0,3.814036138800346e-09,9.32682243750415e-09
superlattice,280.0,8,free,1,0,0.0,3.814036138800346e-09,8.549649260034551e-09
superlattice,280.0,9,free,1,1,0.0,3.814036138800346e-09,9.020364959281685e-09
superlattice,280.0,10,free,1,2,0.0,3.814036138800346e-09,8.435513284207022e-09
superlattice,280.0,11,free,1,3,0.0,3.814036138800346e-09,8.541914571203537e-09
superlattice,280.0,12,free,1,4,0.0,3.814036138800346e-09,9.382586973864786e-09
superlattice,280.0,13,free,1,5,0.0,3.814036138800346e-09,9.526024863303823e-09
superlattice,280.0,14,free,1,6,0.0,3.814036138800346e-09,9.328969790792212e-09
superlattice,280.0,15,free,1,7,0.0,3.814036138800346e-09,9.391465061930656e-09
superlattice,280.0,16,free,2,0,0.0,3.814036138800346e-09,8.54964926003471e-09
superlattice,280.0,17,free,2,1,0.0,3.814036138800346e-09,8.435513284207205e-09
superlattice,280.0,18,free,2,2,0.0,3.814036138800346e-09,9.020364959281824e-09
superlattice,280.0,19,free,2,3,0.0,3.814036138800346e-09,8.541914571203696e-09
superlattice,280.0,20,free,2,4,0.0,3.814036138800346e-09,9.382586973865005e-09
superlattice,280.0,21,free,2,5,0.0,3.814036138800346e-09,9.328969790792485e-09
superlattice,280.0,22,free,2,6,0.0,3.814036138800346e-09,9.526024863303929e-09
superlattice,280.0,23,free,2,7,0.0,3.814036138800346e-09,9.391465061930894e-09
superlattice,280.0,24,free,3,0,0.0,3.814036138800346e-09,8.420180385384728e-09
superlattice,280.0,25,free,3,1,0.0,3.814036138800346e-09,8.541914571236173e-09
superlattice,280.0,26,free,3,2,0.0,3.814036138800346e-09,8.541914571236138e-09
superlattice,280.0,27,free,3,3,0.0,3.814036138800346e-09,9.011999575619526e-09
