assembly,temperature_K,regime,pair_lifetime_deepest_s,pair_survival_deepest,pair_lifetime_neel_blocked_s,pair_lifetime_rotation_blocked_s,pair_lifetime_direct_escape_s,p_bound_eq,contact_barrier_kBT
superlattice,255.0,Neel crossover,419.64141659478867,0.9534583552140278,420.0609072910593,526.5159396928967,1249.3122411556824,0.9999999775644132,5.0
superlattice,260.0,Neel crossover,232.21648327624882,0.9174789208202979,232.49880838884695,294.90507337464965,689.2664212596255,0.9999999624843429,5.0
superlattice,265.0,Neel crossover,131.35940889902034,0.8587699740056122,131.56023128308115,168.7706286293837,388.4359368519089,0.9999999384735941,5.0
superlattice,270.0,Neel crossover,75.88476265818409,0.7683146696487227,76.03517372613734,98.57080083982143,223.34646178160776,0.9999999009276608,5.0
superlattice,275.0,Neel crossover,44.72820507748789,0.6394520107101666,44.84599269961814,58.689878900511424,130.8914779019916,0.9999998432097024,5.0
superlattice,280.0,Neel crossover,26.877033171678672,0.47514744817514193,26.97263793469614,35.58766542189059,78.10747531067904,0.9999997559016881,5.0
superlattice,285.0,Neel crossover,16.452026182915937,0.2965153186405778,16.531751455949006,21.955518110808462,47.41628824887813,0.9999996258344027,5.0
superlattice,290.0,Neel crossover,10.251350102215834,0.14213645138709452,10.319124755809577,13.769204699297685,29.258169413381932,0.9999994348480494,5.0
superlattice,295.0,Neel crossover,6.497799917873081,0.04605189883888988,6.55616401973664,8.770666864357022,18.336072066983974,0.9999991582288174,5.0
superlattice,300.0,fast Neel and Brownian,4.186821977871057,0.008421718820534716,4.237487809743569,5.669899297288398,11.662241435140619,0.9999987627605088,5.0
superlattice,200.0,"Neel blocked, Brownian only",1826972.8553727693,0.9999891356577187,1832874.2735411786,1983254.7901977855,5393214.466226133,0.999999999985609,10.0
superlattice,205.0,"Neel blocked, Brownian only",723538.1609393213,0.9999725572434551,728357.3122329548,786598.9917634508,2118514.014688805,0.9999999999669543,10.0
superlattice,210.0,"Neel blocked, Brownian only",299502.00485067075,0.9999332558258331,303434.73149446293,325463.094238227,867615.574535232,0.9999999999270559,10.0
superlattice,215.0,"Neel blocked, Brownian only",129231.53101541843,0.9998452724370679,132395.34763661612,140096.5166870743,369439.4930871587,0.9999999998448097,10.0
superlattice,220.0,"Neel blocked, Brownian only",57966.991941149085,0.9996555490615985,60460.037465374364,62579.80900218226,163150.81020383912,0.9999999996809696,10.0
superlattice,225.0,"Neel blocked, Brownian only",26955.777883479986,0.9992593627038318,28874.927760093047,28941.17742075225,74553.25956837706,0.9999999993648349,10.0
superlattice,230.0,"Neel blocked, Brownian only",12960.888955366156,0.9984587892519109,14403.255342613436,13827.616829203214,35177.03817339313,0.9999999987727283,10.0
superlattice,235.0,"Neel blocked, Brownian only",6427.762817255651,0.9968946264501323,7486.514151659306,6811.989434251592,17105.068069187622,0.9999999976942002,10.0
superlattice,240.0,"Neel blocked, Brownian only",3280.6605800137577,0.9939242735150777,4040.3457458012954,3453.881558487002,8556.330384183417,0.9999999957802161,10.0
superlattice,245.0,Neel crossover,1719.8281974782774,0.9884400851612493,2253.268695994943,1799.3592722103795,4395.739677084533,0.9999999924656496,10.0
superlattice,250.0,Neel crossover,924.4453068752101,0.978601124074692,1291.5384276949894,961.6757593477031,2315.778439049493,0.9999999868559005,10.0
superlattice,255.0,Neel crossover,508.7317466723842,0.9614534135876461,756.7677617681557,526.5159396928967,1249.3122411556824,0.9999999775644132,10.0
superlattice,260.0,Neel crossover,286.2327095730608,0.9325183632302261,451.17501480537953,294.90507337464965,689.2664212596255,0.9999999624843429,10.0
superlattice,265.0,Neel crossover,164.452836046622,0.8854953420094446,272.711989207509,168.7706286293837,388.4359368519089,0.9999999384735941,10.0
superlattice,270.0,Neel crossover,96.3762474609901,0.8126038370875187,166.73010902373443,98.57080083982143,223.34646178160776,0.9999999009276608,10.0
superlattice,275.0,Neel crossover,57.55161766470887,0.706448099272962,102.96869566243352,58.689878900511424,130.8914779019916,0.9999998432097024,10.0
superlattice,280.0,Neel crossover,34.98547081889298,0.5645880451460953,64.20136287976315,35.58766542189059,78.10747531067904,0.9999997559016881,10.0
superlattice,285.0,Neel crossover,21.63074870456164,0.39668646270156305,40.4116374579453,21.955518110808462,47.41628824887813,0.9999996258344027,10.0
superlattice,290.0,Neel crossover,13.59077240310764,0.22955833510993634,25.6845348045169,13.769204699297685,29.258169413381932,0.9999994348480494,10.0
superlattice,295.0,Neel crossover,8.670866196917808,0.09959811635406238,16.487400449122276,8.770666864357022,18.336072066983974,0.9999991582288174,10.0
superlattice,300.0,fast Neel and Brownian,5.613112101750252,0.028348738675919152,10.691763337400777,5.669899297288398,11.662241435140619,0.9999987627605088,10.0
