channel,inherit,temperature_K,freeze_temperature_K,window_s,blocked,kBT_J,U_pair_J,U_pair_equilibrium_J,vdW_pair_J,repulsive_weight,U_per_NC_J,U_lattice_per_NC_J,U_lattice_per_NC_equilibrium_J,U_pair_excess_J,U_pair_kBT,U_pair_equilibrium_kBT,vdW_pair_kBT,U_per_NC_kBT,U_lattice_per_NC_kBT,U_lattice_per_NC_equilibrium_kBT,U_pair_excess_kBT
face,dispersed,251.0,266.9491585330256,20.0,True,3.4654289900000005e-21,-4.883437028578612e-21,-3.0793848536513506e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.238154560954052e-20,2.5910411507934895e-20,-1.4091868691208158,-8.886013427305432,-1.409186869120816,-0.7045934345604079,-4.227560607362448,-26.658040281916296,7.476826558184616
face,dispersed,252.0,266.9491585330256,20.0,True,3.47923548e-21,-4.883437028578612e-21,-3.0784977583716075e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.235493275114822e-20,2.5901540555137464e-20,-1.4035948577354158,-8.848201784754181,-1.403594857735416,-0.7017974288677079,-4.210784573206248,-26.544605354262547,7.444606927018766
face,dispersed,253.0,266.9491585330256,20.0,True,3.4930419700000006e-21,-4.883437028578612e-21,-3.077604243001506e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.232812729004517e-20,2.5892605401436447e-20,-1.3980470519736157,-8.810670668813938,-1.398047051973616,-0.6990235259868078,-4.194141155920847,-26.432012006441813,7.412623616840322
face,dispersed,254.0,266.9491585330256,20.0,True,3.50684846e-21,-4.883437028578612e-21,-3.076704339339153e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.230113018017459e-20,2.588360636481292e-20,-1.3925429297217513,-8.773416856852585,-1.3925429297217513,-0.6962714648608757,-4.1776287891652535,-26.320250570557754,7.380873927130834
face,dispersed,255.0,266.9491585330256,20.0,True,3.5206549500000006e-21,-4.883437028578612e-21,-3.075798079467836e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.227394238403507e-20,2.5874543766099747e-20,-1.3870819770561755,-8.736437177599115,-1.3870819770561758,-0.6935409885280878,-4.161245931168527,-26.209311532797344,7.34935520054294
face,dispersed,256.0,266.9491585330256,20.0,True,3.53446144e-21,-4.883437028578612e-21,-3.074885495744893e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.224656487234678e-20,2.5865417928870316e-20,-1.3816636880833,-8.699728510109004,-1.3816636880833002,-0.69083184404165,-4.144991064249901,-26.099185530327013,7.318064822025704
face,dispersed,257.0,266.9491585330256,20.0,True,3.54826793e-21,-4.883437028578612e-21,-3.0739666207907753e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.221899862372326e-20,2.5856229179329142e-20,-1.3762875647833652,-8.663287782754262,-1.3762875647833654,-0.6881437823916826,-4.1288626943500955,-25.989863348262787,7.287000217970897
face,dispersed,258.0,266.9491585330256,20.0,True,3.56207442e-21,-4.883437028578612e-21,-3.073041487478277e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.21912446243483e-20,2.5846977846204156e-20,-1.3709531168578482,-8.627111972237449,-1.3709531168578484,-0.6854765584289241,-4.112859350573545,-25.881335916712345,7.2561588553796
face,dispersed,259.0,266.9491585330256,20.0,True,3.57588091e-21,-4.883437028578612e-21,-3.0721101289219723e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.216330386765917e-20,2.5837664260641112e-20,-1.3656598615804048,-8.591198102629129,-1.365659861580405,-0.6828299307902024,-4.096979584741215,-25.77359430788739,7.225538241048724
face,dispersed,260.0,266.9491585330256,20.0,True,3.5896874e-21,-4.883437028578612e-21,-3.071172578467832e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.213517735403496e-20,2.582828875609971e-20,-1.3604073236512493,-8.555543244428002,-1.3604073236512495,-0.6802036618256246,-4.081221970953748,-25.666629733284005,7.195135920776753
