geometry,temperature_K,old_rotation_cost_kBT,new_rotation_cost_kBT,free_energy_change_kBT,Udd_kBT,new_Fmag_plus_rotation_kBT
face,286.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.3448256978453,7.977708622013293
face,287.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.32853599193385,7.995455476603749
face,288.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.311725065905987,8.013407916943429
face,289.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.294447061402067,8.03153680302141
face,290.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.276751294907235,8.049815698590713
face,291.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.258682704381372,8.068220616334871
face,292.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.240282252396917,8.086729788200662
face,293.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.221587290232225,8.105323458290918
face,294.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.202631886892092,8.123983695993555
face,295.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.183447126603943,8.142694227273413
face,296.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.164061377962444,8.161440282275603
face,297.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.144500537560782,8.18020845758653
face,298.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.124788250649358,8.19898659167417
face,299.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.104946111097611,8.217763652185148
face,300.0,17.004041156721613,12.609592002049173,-4.39444915467244,-6.084993842698584,8.2365296339151
tip,200.0,12.034227857145611,-0.0,-12.034227857145611,-0.0010275328911212855,-0.0010272535994864107
tip,201.0,12.034227857145611,-0.0,-12.034227857145611,-0.0011868601496298065,-0.0011864844992892642
tip,202.0,12.034227857145611,-0.0,-12.034227857145611,-0.0013688786055812072,-0.0013683748512325344
tip,203.0,12.034227857145611,-0.0,-12.034227857145611,-0.0015765250795899827,-0.001575851513140103
tip,204.0,12.034227857145611,-0.0,-12.034227857145611,-0.0018130765505809873,-0.0018121785313724992
tip,205.0,12.034227857145611,-0.0,-12.034227857145611,-0.0020821845254122423,-0.0020809906727730088
tip,206.0,12.034227857145611,-0.0,-12.034227857145611,-0.0023879122773269937,-0.0023863296029731362
tip,207.0,12.034227857145611,-0.0,-12.034227857145611,-0.00273477511719758,-0.0027326828198286357
tip,208.0,12.034227857145611,-0.0,-12.034227857145611,-0.0031277838603408353,-0.003125025436904627
tip,209.0,12.034227857145611,-0.0,-12.034227857145611,-0.003572491646481095,-0.003568864891460022
tip,210.0,12.034227857145611,-0.0,-12.034227857145611,-0.004075044262678719,-0.0040702886252705905
tip,211.0,12.034227857145611,-0.0,-12.034227857145611,-0.0046422341071065895,-0.004636014752753104
tip,212.0,12.034227857145611,-0.0,-12.034227857145611,-0.0052815579147776,-0.00527344568787802
tip,213.0,12.034227857145611,-0.0,-12.034227857145611,-0.006001278343486259,-0.005990724647556345
tip,214.0,12.034227857145611,-0.0,-12.034227857145611,-0.006810489488906946,-0.006796794883255686
tip,215.0,12.034227857145611,-0.0,-12.034227857145611,-0.007719186359741642,-0.007701461411701915
tip,216.0,12.034227857145611,-0.0,-12.034227857145611,-0.008738338296327842,-0.008715454918075682
tip,217.0,12.034227857145611,-0.0,-12.034227857145611,-0.009879966256910108,-0.00985049738804289
tip,218.0,12.034227857145611,-0.0,-12.034227857145611,-0.011157223823307985,-0.011119368886102432
tip,219.0,12.034227857145611,-0.0,-12.034227857145611,-0.012584481689627364,-0.012535974733891342
tip,220.0,12.034227857145611,-0.0,-12.034227857145611,-0.014177415291289963,-0.014115412150348838
tip,221.0,12.034227857145611,-0.0,-12.034227857145611,-0.01595309510492495,-0.015874035193528035
tip,222.0,12.034227857145611,-0.0,-12.034227857145611,-0.017930078998579214,-0.017829516587690275
tip,223.0,12.034227857145611,-0.0,-12.034227857145611,-0.020128505834366324,-0.020000904727877522
tip,224.0,12.034227857145611,-0.0,-12.034227857145611,-0.022570189317203587,-0.02240867382415601
tip,225.0,12.034227857145611,-0.0,-12.034227857145611,-0.025278710841561698,-0.025074764779388525
