geometry,temperature_K,exposure_s,state_index,p_previous_hold_end,p_hold_start,p_hold_mean,p_hold_end,p_eq
face,280.0,20.0,48,5.689483182254883e-06,4.042471937313342e-06,4.024688843356811e-06,4.024275947474029e-06,4.024275947473957e-06
face,280.0,20.0,49,0.00015550866751144277,0.00012415488188385413,0.0001237907364301999,0.0001237882999783072,0.0001237882999783082
face,280.0,20.0,50,2.0815700757500472e-07,1.3166706364773883e-07,1.3086672886493038e-07,1.3082655553275374e-07,1.3082655553275457e-07
face,280.0,20.0,51,5.689483182254784e-06,4.0424719373133e-06,4.0246888433567415e-06,4.024275947473953e-06,4.024275947473957e-06
face,280.0,20.0,52,0.004250464391319516,0.003813273672892749,0.003807926776436434,0.0038077764575607234,0.003807776457560825
face,280.0,20.0,53,0.11617646675896864,0.11711691118651238,0.11712837064498603,0.11712869110646808,0.11712869110647137
face,280.0,20.0,54,0.00015550866751144667,0.00012416997488050966,0.0001238048212938224,0.0001237882999783055,0.0001237882999783082
face,280.0,20.0,55,0.004250464391319516,0.0038132736728927474,0.003807926776436434,0.0038077764575607247,0.003807776457560825
face,280.0,20.0,56,0.00015550866751144323,0.000124154881883854,0.0001237907364302001,0.00012378829997830758,0.0001237882999783082
face,280.0,20.0,57,5.689483182254807e-06,4.042471937313301e-06,4.024688843356755e-06,4.024275947473974e-06,4.024275947473957e-06
face,280.0,20.0,58,5.689483182254809e-06,4.0424719373132955e-06,4.024688843356748e-06,4.0242759474739664e-06,4.024275947473957e-06
face,280.0,20.0,59,2.0815700757502886e-07,1.3166706364772472e-07,1.3086672886491942e-07,1.3082655553274295e-07,1.3082655553275457e-07
face,280.0,20.0,60,0.11617646675896909,0.11711691118651249,0.11712837064498628,0.11712869110646842,0.11712869110647137
face,280.0,20.0,61,0.004250464391319517,0.003813273672892749,0.0038079267764364335,0.003807776457560723,0.003807776457560825
face,280.0,20.0,62,0.004250464391319512,0.0038132736728927518,0.0038079267764364387,0.0038077764575607316,0.003807776457560825
face,280.0,20.0,63,0.0001555086675114473,0.00012416997488050934,0.0001238048212938218,0.0001237882999783049,0.0001237882999783082
face,270.0,20.0,0,0.00012378829997831126,9.72349012337092e-05,9.682804095781623e-05,9.678903102672531e-05,9.678903054586381e-05
face,270.0,20.0,1,0.003807776457560904,0.003386144418905693,0.003380441301340367,0.003380094130364947,0.0033800941294207442
face,270.0,20.0,2,0.0038077764575608934,0.003386144418905689,0.003380441301340373,0.0033800941303649555,0.0033800941294207442
face,270.0,20.0,3,0.117128691106473,0.1180277265252079,0.11803987235904957,0.11804061120439914,0.11804061120677106
face,270.0,20.0,4,1.308265555326153e-07,8.017012027627608e-08,7.944129197862817e-08,7.936350536594162e-08,7.936350327429331e-08
face,270.0,20.0,5,4.024275947473669e-06,2.7862966274545688e-06,2.7722597389230965e-06,2.7715548975705686e-06,2.7715548961985853e-06
face,270.0,20.0,6,4.024275947473964e-06,2.786296627454586e-06,2.7722597389232214e-06,2.771554897570695e-06,2.7715548961985853e-06
face,270.0,20.0,7,0.00012378829997831148,9.709697237138363e-05,9.67930365417687e-05,9.678903054357274e-05,9.678903054586381e-05
face,270.0,20.0,8,0.003807776457560929,0.0033861444189056946,0.003380441301340375,0.003380094130364957,0.0033800941294207442
face,270.0,20.0,9,0.00012378829997831056,9.723490123370858e-05,9.682804095781624e-05,9.678903102672534e-05,9.678903054586381e-05
face,270.0,20.0,10,0.11712869110647431,0.1180277265252081,0.11803987235904974,0.11804061120439928,0.11804061120677106
face,270.0,20.0,11,0.0038077764575608886,0.0033861444189056877,0.003380441301340371,0.003380094130364954,0.0033800941294207442
face,270.0,20.0,12,4.0242759474740274e-06,2.786296627454681e-06,2.7722597389231066e-06,2.7715548975705724e-06,2.7715548961985853e-06
face,270.0,20.0,13,1.3082655553275494e-07,8.017012027635483e-08,7.944129197862363e-08,7.936350536593271e-08,7.936350327429331e-08
face,270.0,20.0,14,0.00012378829997830741,9.709697237138405e-05,9.679303654176864e-05,9.678903054357259e-05,9.678903054586381e-05
face,270.0,20.0,15,4.024275947473974e-06,2.7862966274546878e-06,2.772259738923077e-06,2.771554897570544e-06,2.7715548961985853e-06
face,270.0,20.0,16,0.0038077764575609255,0.003386144418905695,0.0033804413013403724,0.0033800941303649525,0.0033800941294207442
face,270.0,20.0,17,0.1171286911064744,0.11802772652520821,0.11803987235904972,0.11804061120439914,0.11804061120677106
face,270.0,20.0,18,0.00012378829997831018,9.723490123370864e-05,9.68280409578161e-05,9.67890310267252e-05,9.678903054586381e-05
face,270.0,20.0,19,0.00380777645756089,0.0033861444189056886,0.0033804413013403707,0.003380094130364951,0.0033800941294207442
face,270.0,20.0,20,4.024275947474029e-06,2.7862966274546878e-06,2.772259738923109e-06,2.7715548975705733e-06,2.7715548961985853e-06
face,270.0,20.0,21,0.00012378829997830725,9.709697237138401e-05,9.679303654176888e-05,9.678903054357282e-05,9.678903054586381e-05
face,270.0,20.0,22,1.308265555327531e-07,8.017012027635707e-08,7.94412919786241e-08,7.936350536593333e-08,7.936350327429331e-08
face,270.0,20.0,23,4.024275947473965e-06,2.7862966274546873e-06,2.7722597389230812e-06,2.7715548975705483e-06,2.7715548961985853e-06
face,270.0,20.0,24,0.11712869110647467,0.11802772652520815,0.11803987235904982,0.11804061120439935,0.11804061120677106
face,270.0,20.0,25,0.003807776457560916,0.0033861444189056907,0.003380441301340374,0.0033800941303649547,0.0033800941294207442
face,270.0,20.0,26,0.003807776457560913,0.0033861444189056894,0.003380441301340373,0.003380094130364955,0.0033800941294207442
face,270.0,20.0,27,0.00012378829997831536,9.723490123371123e-05,9.682804095781651e-05,9.678903102672547e-05,9.678903054586381e-05
face,270.0,20.0,28,0.00012378829997830763,9.709697237138407e-05,9.679303654176874e-05,9.678903054357267e-05,9.678903054586381e-05
face,270.0,20.0,29,4.0242759474739825e-06,2.7862966274546742e-06,2.7722597389230774e-06,2.7715548975705424e-06,2.7715548961985853e-06
face,270.0,20.0,30,4.024275947473971e-06,2.786296627454678e-06,2.772259738923077e-06,2.771554897570544e-06,2.7715548961985853e-06
face,270.0,20.0,31,1.3082655553274347e-07,8.017012027634665e-08,7.94412919786194e-08,7.936350536592916e-08,7.936350327429331e-08
face,270.0,20.0,32,1.3082655553274956e-07,8.017012027634113e-08,7.944129197861691e-08,7.936350536592599e-08,7.936350327429331e-08
face,270.0,20.0,33,4.024275947474045e-06,2.786296627454718e-06,2.7722597389231486e-06,2.771554897570615e-06,2.7715548961985853e-06
face,270.0,20.0,34,4.024275947474061e-06,2.7862966274547123e-06,2.7722597389230905e-06,2.771554897570556e-06,2.7715548961985853e-06
face,270.0,20.0,35,0.00012378829997830693,9.70969723713837e-05,9.679303654176887e-05,9.678903054357293e-05,9.678903054586381e-05
