geometry,exposure_s,time_s,temperature_K,stage,Udd_J,Udd_kBT
face,150.0,1245.0,258.75,ramp,-2.5837667260279462e-20,-7.232520277080352
face,150.0,1248.0,258.5,ramp,-2.583995533794506e-20,-7.240156079246593
face,150.0,1251.0,258.25,ramp,-2.5842242811382522e-20,-7.247806495689765
face,150.0,1254.0,258.0,ramp,-2.5844527066195942e-20,-7.255470834940035
face,150.0,1257.0,257.75,ramp,-2.5846807121146556e-20,-7.2631488617744
face,150.0,1260.0,257.5,ramp,-2.584908258635711e-20,-7.270840506394775
face,150.0,1263.0,257.25,ramp,-2.585135329366007e-20,-7.27854576115496
face,150.0,1266.0,257.0,ramp,-2.5853619160634245e-20,-7.286264642544692
face,150.0,1269.0,256.75,ramp,-2.5855880138893684e-20,-7.293997176719342
face,150.0,1272.0,256.5,ramp,-2.5858136193802556e-20,-7.301743393818972
face,150.0,1275.0,256.25,ramp,-2.5860387296286958e-20,-7.309503325673355
face,150.0,1278.0,256.0,ramp,-2.5862633419440312e-20,-7.3172770048497995
face,150.0,1281.0,255.75,ramp,-2.5864874537079497e-20,-7.325064464247839
face,150.0,1284.0,255.5,ramp,-2.5867110623114457e-20,-7.332865736922153
face,150.0,1287.0,255.25,ramp,-2.586934165126485e-20,-7.340680856002929
face,150.0,1290.0,255.0,ramp,-2.587156759492778e-20,-7.348509854658655
face,150.0,1293.0,254.75,ramp,-2.587378842711257e-20,-7.356352766077772
face,150.0,1296.0,254.5,ramp,-2.587600412040589e-20,-7.3642096234588355
face,150.0,1299.0,254.25,ramp,-2.5878214646950813e-20,-7.372080460004608
face,150.0,1302.0,254.0,ramp,-2.5880419978432368e-20,-7.379965308917958
face,150.0,1305.0,253.75,ramp,-2.5882620086066144e-20,-7.387864203398609
face,150.0,1308.0,253.5,ramp,-2.5884814940588378e-20,-7.395777176640285
face,150.0,1311.0,253.25,ramp,-2.5887004512246785e-20,-7.403704261828068
face,150.0,1314.0,253.0,ramp,-2.588918877079166e-20,-7.411645492135801
face,150.0,1317.0,252.75,ramp,-2.5891367685467243e-20,-7.419600900723561
face,150.0,1320.0,252.5,ramp,-2.5893541225003086e-20,-7.427570520735111
face,150.0,1323.0,252.25,ramp,-2.589570935760553e-20,-7.435554385295378
face,150.0,1326.0,252.0,ramp,-2.5897872050949205e-20,-7.4435525275079115
face,150.0,1329.0,251.75,ramp,-2.590002927216851e-20,-7.4515649804523285
face,150.0,1332.0,251.5,ramp,-2.5902180987849245e-20,-7.459591777181783
face,150.0,1335.0,251.25,ramp,-2.5904327164020146e-20,-7.467632950720394
face,150.0,1338.0,251.0,ramp,-2.590646776614456e-20,-7.475688534060701
face,150.0,1341.0,250.75,ramp,-2.5908602759112143e-20,-7.4837585601611085
face,150.0,1344.0,250.5,ramp,-2.5910732107230636e-20,-7.49184306194333
face,150.0,1347.0,250.25,ramp,-2.5912855774217687e-20,-7.49994207228985
face,150.0,1350.0,250.0,ramp,-2.5914973723192833e-20,-7.508055624041399
